,title,author,sort,count,status,detail,site,rank1,cover,url1
0,芝加哥1990,齐可休,二次元,404.9万字,连载,穿越、90年代、芝加哥、美娱、作曲、编剧、制片、传媒集团,起点中文网,5.6,https://qidian.qpic.cn/qdbimg/349573/1013677094/300,https://m.qidian.com/book/1013677094/catalog
1,海贼法典,惟求得中,二次元,87.4万字,太监,"英雄者，胸怀奇志，腹有良谋，有包藏宇宙之机,吞吐天地之志！《ONEPIECE》的世界，大海上千帆竞渡，百舸争流，来到这个豪杰并起的年代，是选择像小船一样在大海上随波逐流，还是如礁石一般屹立不动，驯服着狂暴的海浪？海贼王同人，不跟船，BOSS型主角，一个普通白领穿越到罗杰死后的大海贼时代，凭借智慧与努力起于东海，成为海上枭雄，并与原著群雄争锋的故事。【书友群：278213374】",起点中文网,7.6,https://qidian.qpic.cn/qdbimg/349573/1005207631/300,https://m.qidian.com/book/1005207631/catalog
2,大唐西域直播记,塞壬的港湾,二次元,31.7万字,太监,【神脑洞系列--原创征文】 就是穿越了，怎么招吧？ 反正公路片都是B级片，小成本小制作…… 而且说不定还是邪典呢？ 是吧？师父？怎么着看都比“American Gods”安全吧？ “Are you sure?”——by 某腹黑的双马尾 ====== 身处海外无法实名验证上不了某论坛的港湾嘿咻嘿咻搬家中~ 弹幕和书评才是更新的动力~~,刺猬猫,8.5,https://c1.kuangxiangit.com/uploads/allimg/c171009/09-10-17091326-98859-100046364.jpg,https://www.ciweimao.com/book/100046364
3,反正我是超能力者,吃书妖,二次元,132.3万字,完结,糟糕！被卷入超危险的死亡游戏了，如何是好？ 没关系，反正我是超能力者。 ****** 书群：121440620 ****** 第一期：《红眼病》 队友：凉风青叶、阿尔冯斯·艾尔利克。 第二期：《狼子野心》 队友：雾切响子、阿虚。 第三期：《罗普岛》 队友：由比滨结衣、幸平创真。 第四期：《逢鬼必斩》 队友：两仪式、平贺才人。 第五期：《死者苏生》 队友：白井黑子、夏目贵志。 第六期：《反转世界》 队友：赤瞳。 第七期：《人生重启》 队友：月乃濑·薇奈特·艾普利尔。 第八期：《二人的宁海》 队友：言峰绮礼。 第九期：《面具》 队友：牧濑红莉栖。 第十期：《信念中毒》 队友：结城明日奈。 第十一期：《我之残骸》 队友：神乐。 第十二期：《自掘坟墓》 队友：赤瞳。,刺猬猫,7.3,https://c1.kuangxiangit.com/uploads/allimg/c170813/13-08-17092317-14947-100018709.jpg,https://www.ciweimao.com/book/100018709
4,马恩的日常,F君,二次元,455.1万字,连载,【神脑洞系列--原创征文】 单元故事，纯属虚构。 系列第三部《远方之音》 平淡的生活，奇妙的旋律，马恩的日常。 （提醒：如果发现章节缺失，请刷新章节和章节目录，这是软件问题，本书完整。）,刺猬猫,7.2,https://c1.kuangxiangit.com/uploads/allimg/c191231/31-12-19142248-13859-100056803.jpg,https://www.ciweimao.com/book/100056803
5,我才不会被女孩子欺负呢,废铁行者,二次元,421.4万字,完结,吐槽，无节操，脑洞大开，本书是无任何超能力的校园恋爱轻喜剧，萌妹子略多，糟糕情节略多，基本上讲的是一个小正太长残之后，从天天被女孩欺负，变成欺负女孩子过日子的故事…… --------------------------------------- 废铁微信号：ftxz55 书友群：145869474（已满） 书友群：480914642（1000人群）,17k小说网,7.7,https://cdn.static.17k.com/book/600x800/24/16/441624.jpg-600x800?v=0,http://www.17k.com/book/441624.html
6,我在东瀛画埃罗芒阿本子,柳水心,二次元,173.4万字,完结,新作：《魔鬼的料理超黑暗》已经上线，希望大家能够支持一下哈~ 书号：100049633 清水白石穿越到了异世界的东瀛，1974年的时候，他16岁，决定向着自己的目标迈进，成为一名大艺术家。 可首先，他得解决温饱问题，没饭吃的艺术家是死艺术家。 在东京都，赚钱并不容易，多次碰壁之后。他决定放下节操，拿起画笔，首先，从画本子开始。 望着同样的青空，清水白石默默的祈祷着。 如月群真，鬼月，桂井，武田弘光，以及诸多给我欢乐的大师们啊，保佑我把！ ———— 特别说明 1.老司机出没，禁止发车。 2.如果看到意味不明的神秘代码，请无视，这些东西只是无意义的乱码，没有任何意义。 3.这本书一点都不污，好孩子也能看。少年，快来把。 4.感谢猫小姐帮我建设的【新群】，群号是，【723867132】，欢迎朋友们来玩。。。。,刺猬猫,6.9,https://c1.kuangxiangit.com/uploads/allimg/c170420/20-04-17121320-80816-100018731.jpg,https://www.ciweimao.com/book/100018731
7,事象的宏图,ddt药剂,二次元,109.5万字,太监,此刻有谁在世上某处哭，无缘无故地在世上哭，哭我。此刻有谁在世上某处笑，无缘无故地在世上笑，笑我。此刻有谁在世上某处走，无缘无故地在世上走，走向我。此刻有谁在世上某处死，无缘无故地在世上死，望着我。===========================朋友写的超电和魔禁的同人，应其本人要求代发。我参与了主要设定，主要是在物理方面。,起点中文网,7.7,https://qidian.qpic.cn/qdbimg/349573/2125880/300,https://m.qidian.com/book/2125880/catalog
8,红龙,接口卡,二次元,179.5万字,连载,一个普通人，穿越到了费伦大陆，成为了穷凶极恶的红龙。 龙族天性中的残忍和贪财，这些他都没有继承。 他只是想种种蘑菇，做做大保健而已。,刺猬猫,6.6,https://c1.kuangxiangit.com/uploads/allimg/c151214/14-12-15102931-38742-100000752.jpg,https://www.ciweimao.com/book/100000752
9,黑龙法典,欢声,二次元,147万字,连载,当你凝视深渊的时候，深渊会反手给你一记反物质能量湮灭炮。一头魔法无能的黑龙在异世界搅风搅雨的故事。,起点中文网,6.5,https://qidian.qpic.cn/qdbimg/349573/1011393337/300,https://m.qidian.com/book/1011393337/catalog
10,地下城玩家,蓝白的天,二次元,167.8万字,完结,夏洛克是一名新晋的地下城城主，立志成为伟大的魔王，直到他召唤出了一批会给自己起一些奇怪的名字，会拉帮结派，会互相之间进行交易买卖，甚至会发生斗殴打群架的哥布林，他们自称——玩家！感谢下热心读者提供的书友群：一群：104323327二群：339025139三群：628733055【蓝白的天】VIP全订群：865247353欢迎大家聊天，催更。,起点中文网,6.0,https://qidian.qpic.cn/qdbimg/349573/1014988608/300,https://m.qidian.com/book/1014988608/catalog
11,起源树下的猎人,牧官,二次元,393.8万字,完结,新书《奥丁》已发布： 这是一个被雷百劈百中的智障瓜皮突然有一天被劈后变得无比聪明，热爱学习、渴求知识、成为巨佬学神、改变世界、篡权神王的终极俗套故事。 剧情充满着爱与希望，充分寄托了作者对正义与善良的追求，但可能会不小心出现御姐、萝莉、女教师、人妻、公主、女皇、枪娘、天使、魅魔、女武神、圣武士、女剑圣、机甲女、兽耳娘、女法师、虫后、妖精、人工智能纸片人、神秘部队番号、监禁play、时间停止、思维控制、比武招亲、孤男寡女、除妖补魔、女公爵对两男一女、我全都要等数量众多、需严肃批判的人物属性和情节。 猎人书友群“猎团”，群号：421858334，加入批判队列。 ———————— 本书世界起源于原初的阵痛，而猎人承担了一半的痛苦。 ——真理之主,起点中文网,6.9,https://novel-cdn.kuangxiangit.com/uploads/allimg/c160729/29-07-16143622-40820-100014315.jpg,https://m.qidian.com/book/1003603719/catalog
12,团长养成计划,团长最高,二次元,48.3万字,太监,这是一本情节松散，平和舒缓，没心没肺，百分之百的纯宅向小说……以上。和书名不同，本书没有团长，没有养成，也没有计划……目前完成度51/120，本来想换个新封面的，不过原图来自同人志封面，改图是件麻烦事所以懒得PS了……——————————感谢天魔╃fish童鞋的群，群号：119486178,起点中文网,8.1,https://qidian.qpic.cn/qdbimg/349573/1984179/300,https://m.qidian.com/book/1984179/catalog
13,轮回乐园,那一只蚊子,二次元,969.9万字,连载,苏晓签订轮回契约，进入各个世界执行任务。他曾目睹一个世界崩灭为尘粒，也曾与被遗忘的王者持刃而战。暗鸦在低语，黑渊下巨兽咆哮。欢迎来到，轮回乐园……---------------读者群：534789565二群：631919682三群：485381921VIP群：204920420（需粉丝值截图验证）,起点中文网,4.8,https://qidian.qpic.cn/qdbimg/349573/1009817672/300,https://m.qidian.com/book/1009817672/catalog
14,王国的建立,秋官,二次元,296.7万字,连载,离开了故土，唐人风雨飘摇。 　　太阳的底下，人民正在缓缓流浪。 　　当唐人停止了流浪，在贫瘠的土地上开拓家园时，四周的强邻纷纷投来了贪婪的目光。 　　城堡里铠甲精美的诺曼骑士；高原上目光阴沉的安息弓骑；商业共和国视为海上国土的舰队；拥挤在龙首战船里的北海狂战士``` 　　亡国之人，谁敢言勇？ 　　没有金钱、没有粮食、没有良田、没有商港。 　　你将如何招募强大的军队？你将如何恢复唐人的荣耀？你又将如何拯救唐人的国家？ 　　“我是个唐人。”---这句话你唯一的凭借，也是你召唤勇士时最响亮的宣言！ 　　王国的建立，一个唐人建立国家的故事。 ============================================ 欢迎加入读者群：QQ493327883,刺猬猫,6.4,https://c1.kuangxiangit.com/uploads/allimg/c160107/07-01-16191930-60066-100001106.jpg,https://www.ciweimao.com/book/100001106
15,我的大宝剑,学霸殿下,二次元,440.7万字,完结,始皇历1838年，天元战争结束，一个刚穿越就被逼着打了六年的仗的男人将手中的大宝剑一扔，带着灵魂上的伤痛与茫然，摇摇晃晃地离开了满目疮痍的战场，想要去看看这个陌生而神秘的世界，我们的故事，就从他重获自由的两年后开始。 　　然而他发现，事情并没有这么简单，那铁与火交织的六年，已经让他与这个新世界的命运紧紧地纠缠在一起，推行变革的汉家王朝，虎视眈眈的西方列强，挥舞帝兵的武者，操纵机械的枪炮士，驾驭蒸汽机关的工程师，一身致命武装的改造人，在这个科技树歪到姥姥家的新世界，各自处于巅峰状态的东西方文明正等待着一场华丽绚烂的终极碰撞，而他与那把被他扔掉的大宝剑，恰好正是一切的起源与因由。 　　就像命运一样，他躲不过去。 　　而且要命的是，他好像被自己扔掉的那把大宝剑给诅咒了……唔，亦或是祝福也不一定？ 　　他体内的大宝剑之力，有一部分变成了大保健之力……这是件很麻烦的事情，其中一个比较严重的后果，就是他永远失去了扶老奶奶过马路的资格。 　　因为现在的他，只要碰触到女性的任何部位，就会让对方……咳咳，他妈的，真是太扯淡了。 　　“大家好，我叫孙朗，最近因为某些原因转业成了一名游侠……还有，也许小时候的我渴望着各种萌妹子和一个大大的后宫，但现在我讨厌H，非常讨厌。” 　　“……不要用这种眼神看着我，这是真的，你们一定要相信我。” ￥￥￥￥￥￥￥￥￥￥￥￥￥￥￥￥￥￥￥￥￥￥￥ PS1:拙作《死神逃学日记》因百度小说贴吧大规模封禁之故，更新地点转移至新浪微博【学霸殿下】与微信公众平台【学霸殿下】（微信号a1316422829），依然有意追更的朋友请关注，并请互相转告告知。 PS2：感谢一路陪伴，我是学霸，我在这里。,刺猬猫,5.3,https://novel-cdn.kuangxiangit.com/uploads/allimg/c160701/01-07-16220323-6809-100011781.jpg,https://www.ciweimao.com/book/100011781
16,降魔专家,吃书妖,二次元,42.3万字,连载,当我从城市图书馆的书架上抽出那本记录着禁忌知识的书籍之后，我既彷徨无助又恐惧，眼睁睁看着自己的人生轰然驶入了另外一条遍布疯狂呓语的铁路。路上还顺便碾死了一些螳臂当车的垃圾。,起点中文网,7.6,https://qidian.qpic.cn/qdbimg/349573/1015350660/300,https://m.qidian.com/book/1015350660/catalog
