,title,author,sort,count,status,detail,site,rank1,cover,url1
0,凡人修仙传,忘语,仙侠,747.3万字,完结,"一个普通山村小子，偶然下进入到当地江湖小门派，成了一名记名弟子。他以这样身份，如何在门派中立足,如何以平庸的资质进入到修仙者的行列，从而笑傲三界之中！诸位道友，忘语新书《大梦主》，经在起点中文网上传了，欢迎大家继续支持哦！",起点中文网,7.8,https://qidian.qpic.cn/qdbimg/349573/107580/300,https://m.qidian.com/book/107580/catalog
1,极道天魔,滚开,仙侠,385.4万字,完结,妖魔横行，世人苦难。神兵魔刃，遮耀天下。手机上的一款游戏修改器，意外成了路胜脑海里的异能。也成了他在这个黑暗乱世唯一的依靠。~~~~~~~新书万千之心，欢迎大家来玩~,起点中文网,7.0,https://qidian.qpic.cn/qdbimg/349573/1005401501/300,https://m.qidian.com/book/1005401501/catalog
2,灭运图录,爱潜水的乌贼,仙侠,284.6万字,完结,修真，去假存真，照见本性。能达到这点的，则被称为“真人”，他们成就元神，超脱生死。灭运图录，灭运道种？一个偶得上古仙法的穿越客在这诸天万界、亿兆大千世界的修炼故事。群号：一群:二一三九三三零四八(已满）二群:一四零零三三九六零,起点中文网,8.2,https://qidian.qpic.cn/qdbimg/349573/2182740/300,https://m.qidian.com/book/2182740/catalog
3,娱乐春秋,姬叉,仙侠,186万字,完结,架空异界，武道百家。 现代人告诉他们，除了修行，还有很多方法可以得到你想要的东西。 要做江湖上人人追捧的少侠？嗯，这个简单，只是要看你的诚意……比如让你师妹来喝杯酒？ 子曰： 穿越莫只苦修行，人家土著没你行？ 天作棋盘星作子，知识就是金手指。 又云： 穿越一世不推土，不如回家卖红薯。 江山百色尽妖娆，何必较劲逆天高。,书山中文网,7.7,http://img.yc.ireader.com.cn/bookface/7/40/74089_large.jpg,http://shushan.zhangyue.net/book/74089
4,诛仙,萧鼎,仙侠,168.5万字,完结,　　天地不仁，以万物为刍狗！ 　　自太古以来，人类眼见周遭世界，诸般奇异之事，电闪雷鸣，狂风暴雨，又有天灾人祸，伤亡无数，哀鸿遍野，决非人力所能为，所能抵挡。遂以为九天之上，有诸般神灵，九幽之下，亦是阴魂归处，阎罗殿堂。 　　于是神仙之说，流传于世。无数人类子民，诚心叩拜，向着自己臆想创造出的各种神明顶礼膜拜，祈福诉苦，香火鼎盛…… 　　方今之世，正道大昌，邪魔退避。中原大地山灵水秀，人气鼎盛，物产丰富，为正派诸家牢牢占据。其中尤以“青云门”、“天音寺”、和“焚香谷”为三大支柱，是为领袖。 　　这个故事，便是从“青云门”开始的。,起点中文网,8.4,https://www.yousuu.com/book/201108/015245c55vyvo1cyc1uzvc.jpg,https://m.qidian.com/book/2019/catalog
5,地煞七十二变,祭酒,仙侠,80.5万字,连载,地煞七十二般变化，每一般变化，就是一项神通。一本神奇的黄壳书将李长安送回古代世界，每斩杀一个妖魔，就获得一项神通。 画皮、僵王、蜘蛛魔……一个个妖魔倒在他的剑下。 通幽、剑术、斩妖……一项项神通从书中获得。 当他诛灭百魔，拔剑四顾，才发现这一切不过是滚滚大潮前一个小小浪头。,磨铁中文网,7.9,https://cdn.motieimg.com/book/0009/99776/1.jpg?x-oss-process=style/book_middle,http://www.motie.com/book/99776
6,许仙志,说梦者,仙侠,234万字,完结,许仙：“不能再做拖累娘子的小白脸了，要做带给所有人幸福的小白脸之王。”将人兽进行到底！哦不，是将人妖进行到底。,起点中文网,7.7,https://qidian.qpic.cn/qdbimg/349573/1456265/300,https://m.qidian.com/book/1456265/catalog
7,大圣传,说梦者,仙侠,427.7万字,太监,妖魔中的至高无上者，名为“大圣”。少年走出山村，踏遍天下，一步步跨入传说中，成为神话。VIP群：102407797（需全订阅）普通群：128914315,起点中文网,7.3,https://qidian.qpic.cn/qdbimg/349573/1890269/300,https://m.qidian.com/book/1890269/catalog
8,修真世界,方想,仙侠,0字,完结,左莫，无空剑门毫不起眼的外门弟子，最大的愿望就是拥有无限的晶石，想尽法子的赚晶石，无意间却闯入奇异修真世界。我心中的仙侠！看书的朋友，请多多注册、收藏、投票，我需要你的支持！谢谢！,纵横中文网,7.7,http://static.zongheng.com/upload/cover/2010/07/1278231576904.jpg,http://book.zongheng.com/book/45669.html
9,幽冥仙途,减肥专家,仙侠,23.8万字,完结,正与邪，自古以来，泾渭分明，李珣却因命运纠葛，卷入正邪之争。 　　富贵荣华的福王世子李珣，因长辈妄求仙道，竟被推入万劫不复的深渊——在夹缝中戒慎恐惧，小小年纪，心智便已难单纯，承受各方威胁的同时，还要背负生死存亡的游戏规则！ 　　无尽累加的梦魇，让一个八岁天皇贵胄的生命，布满最严苛的考验。 　　看李珣如何在正邪之间周旋，走出命运的窠臼，与正道仙路背后不为人知的幽冥仙途！ 　　…… 新书《问镜》即将上传，发旧作熟一熟手。 新书友切记，本书虐主，阅读需谨慎。 小心，小心。,纵横中文网,8.0,https://www.yousuu.com/book/201105/210820ykp5k5521dzydyfw.jpg,http://book.zongheng.com/book/64748.html
10,杨戬——人生长恨水长东,水明石,仙侠,84万字,完结,神仙意味着长生，却不意味着不死。单纯的背后，往往是太过残酷的真实，人，鬼，神，莫不如是。劈山救母，三界纯孝的传奇。高擎的宝莲灯，追求美好爱情的象征。但谁又知道，成就了这传奇和这象征的，是怎样的一条血腥和阴谋之路。新书已上传，《夕阳山外山》，书号143041。,起点女生网,8.6,https://qidian.qpic.cn/qdbimg/349573/70453/300,https://m.qidian.com/book/70453/catalog
