,title,author,sort,count,status,detail,site,rank1,cover,url1
0,永不解密,风卷红旗,军事,83.1万字,完结,《永不解密》有声小说已经开始上线了！喜马、懒人各大平台同步首发 ！每日更新 敬请期待     当重生不只是传说，发现了一只活的爱国重生者，他在设法和国家情报机关取得联系，以提供他知道的关于未来的信息。     首长指示：不惜一切代价找到他！     特工密令：找到他，或者消灭他！     一场关乎未来的间谍暗战就此展开。     读者群：97093108；579073016     本书入选2016中国年度网络文学十佳小说（男频卷）,铁血读书,8.7,http://s.junshishu.cn/bookcoverpic/24886_1425455619.jpg,http://www.junshishu.com/Book24886/
1,无穷重阻,核动力战列舰,军事,300万字,完结,优点放大数百倍，缺点也放大数百倍。最强大的敌人毫不掩饰的出现，且永远不可战胜。那么先活下来再说。,纵横中文网,7,https://static.zongheng.com/upload/s_image/cover/83/54/8354a2fab2ab076a2024d57c3601e19a.jpeg,http://book.zongheng.com/book/666143.html
2,井口战役,核动力战列舰,军事,390.8万字,完结,历史是人走过的路，过去的路，未来的路。处于路上的人无法对已走过的路说不。历史没有如果，因为无法回去，因为已经在路上，无法跳脱。 可是如果能选择呢，如果能无限选择呢？有一群生命来自不同的历史线，却在每一条历史线上相同的发展点上。他们干涉一条条历史，也被一条条历史改变。 不同的理念，不同的坚持，不同的道义，相互说服，相互碰撞，相互战争。这里是演变战场。原来的世界只是一个小小的井口。,纵横中文网,7.4,https://static.zongheng.com/upload/s_image/cover/d9/be/d9bef9395d86c305855782432aca9313.jpeg,http://book.zongheng.com/book/490507.html
3,谍影风云,寻青藤,军事,371.7万字,完结,一个平凡普通的公务员，机缘巧合回到了1936年，寻找地下组织，追查日本间谍，在波澜壮阔的大时代中为祖国，为民族的解放与复兴贡献着自己的一份力量，开始了他传奇的谍海生涯。谍影风云书友1群833528943，谍影风云书友2群879936725谍影风云舵主940510849,起点中文网,7.5,https://qidian.qpic.cn/qdbimg/349573/1011489683/300,https://m.qidian.com/book/1011489683/catalog
4,狼群,刺血,军事,123万字,完结,　　一场意外的劫持，一场殊死的撕杀，将一个平凡的中国学生带进了战火纷飞的生命旅程。 血腥仍在继续，死亡就在前方，生存－成了战场上所有人的动力。,起点中文网,9.1,https://www.yousuu.com/book/201012/201309mz5d9520hkkyny6k.jpg,https://m.qidian.com/book/7776/catalog
5,烽火逃兵,小知闲闲,军事,191.6万字,太监,烽火狼烟的岁月，生命何其渺小，战争改变了一个世界，也改变了无数个人生。 他是个普通军人，他只是想活着，因为，在硝烟中，活着就是最大的奢望。 他想逃离战场，他想逃避战争，但是，只要他还活着，早晚会明白，只有战争才能制止战争！,创世中文网,6.6,http://wfqqreader.3g.qq.com/cover/83/441083/t5_441083.jpg,http://chuangshi.qq.com/bk/ly/441083.html
6,鬼子你好我们是游戏玩家,红心兔,军事,15.6万字,太监,他们悍不畏死，他们枪法如神，他们哪怕身中数弹依然可以健步如飞，他们就算中弹身亡，只需一针扎下去，马上又能活蹦乱跳，他们飞车爆破，他们坦克飘移，他们战机甩尾，他们就是……游戏玩家。     小鬼子：导演，他们这么搞，我们可撑不了八年啊！,铁血读书,6.8,http://s.junshishu.cn/bookcoverpic/32797_1592391011.jpg,http://www.junshishu.com/Book32797/
7,交锋,可大可小,军事,476万字,完结,在一般人眼中，他是平庸、无能、贪婪，甚至有些愚蠢的巡捕。因为他，经常行动失败，多次无意泄露了重要情报。但他交游广泛，善于溜须拍马和钻营。其实，他一直受我党领导，是一名坚定的革命战士，一名杰出的地下情报工作者！在地下工作中，力挽狂澜，立下了不朽的功勋！新书《我真的是一个外卖员啊》发布啦，都市爽文带谍战,起点中文网,6.9,https://qidian.qpic.cn/qdbimg/349573/1004829455/300,https://m.qidian.com/book/1004829455/catalog
8,佣兵的战争,如水意,军事,714.9万字,完结,高扬是一个军迷，一个很普通的军迷，爱刀，爱枪，爱冒险。一次意外，高扬跑去了非洲，结果不幸遇到了空难，侥幸活命，却从此只能在枪口下混饭吃了，因为他成了一个雇佣兵。一个军迷，能在国际佣兵界达到什么样的高度？请拭目以待吧。,起点中文网,6.7,https://qidian.qpic.cn/qdbimg/349573/3056070/300,https://m.qidian.com/book/3056070/catalog
9, 残阳帝国,野狼獾,军事,319.9万字,连载,一艘现代化的核潜艇，突然穿越到了1941年7月的东海海面，与正在南下中南半岛的日本舰队撞个正着，艇长程大洋以下的全体官兵，面对突如其来的历史，必须做出正确的抉择。,铁血读书,5,http://s.junshishu.cn/bookcoverpic/24461_1408958740.jpg,http://www.junshishu.com/Book24461/
10, 叛徒,中秋月明,军事,491.4万字,完结,在举世瞩目的北非政变中，     一个倒霉的小雇佣兵和那支小小的雇佣军一起被出卖，     呼啸穿刺的弹雨，漫漫黄沙，烧焦的肢干，都让齐天林发誓要抓住那个叛徒！     茫茫人海世界那么大，那里去找那杳无音信的一点线索？     生活中也不只有仇恨，还有爱情，阴谋，奇遇，忠诚和热血！     这一切，都交织在齐天林的传奇探索经历当中！,铁血读书,6.3,http://s.junshishu.cn/bookcoverpic/18594_1471259018.jpg,http://www.junshishu.com/Book18594/
11, 剑与旗帜,马大鳌,军事,83.5万字,完结,我穿越到了一个半殖民地国家，成为了一名光荣的图书管理员。     但就在我打算著书立说，带领人民走向工业党辉煌之路时，却愕然发现，早有人提前开创理论并且还建立了庞大的工业帝国。     事情都被这个叫尤里的人抢先做了，我该怎么办？     加群378068637，在线等，很急！,铁血读书,7.2,http://s.junshishu.cn/bookcoverpic/25715_1468373686.jpg,http://www.junshishu.com/Book25715/
12, 雷霆反击（原《国家意志》）,野狼獾,军事,308.6万字,完结,《雷霆反击》（原：国家意志）推演了一场最真实的印巴冲突、中印战争，展开海陆空全面对抗。全书涵盖300种军事武器装备，其读者遍布国内各大军事论坛、持续引发网友对书中的中、美、印、巴局势模拟推演，对各国军事武器装备深度分析等若干争议话题。,铁血读书,8.2,http://s.junshishu.cn/bookcoverpic/17498_1474259580.jpg,http://www.junshishu.com/Book17498/
13,回到民国当小编,约翰留着长长的胡子,军事,235.5万字,连载,被电磁炮电回了1945年，没有系统。 不带兵，不打仗。 爱搞发明，爱当老师。 爱抄口水歌。 擅长在幕后悄悄改变历史。,息壤中文网,6,http://oss.xrzww.com//upload/images/20200517/20200517151645589599960452.jpg,https://www.xrzww.com/bookdetail/1463
14, 最后一毫米,静静的延河,军事,333.1万字,连载,当世界走上危机边缘，当人类遭遇重大危难，我们如何破解层层谜题，如何战胜一个个强大敌人。最后一毫米关头来临，却发现真正的敌人是我们从来不敢想象的！     一本集谍战，科幻，军事战争为一体的全方位惊险小说。,铁血读书,7.5,http://s.junshishu.cn/bookcoverpic/24593_1523937085.jpg,http://www.junshishu.com/Book24593/
15,弹痕,纷舞妖姬,军事,137.7万字,完结,当过兵，站过岗，守过边疆上过天。走过南，闯过北，拉着死神跳过舞。挨过刀，中过弹，枕着鳄鱼睡过觉。翻过山，游过海，搂着死人嗥过歌。,起点中文网,7.2,https://qidian.qpic.cn/qdbimg/349573/78624/300,https://m.qidian.com/book/78624/catalog
16,火力,你不要骗我,军事,75.6万字,连载,故明君贤将，所以动以胜人，成功出于众者，先知也 　　——《孙子兵法》公元前五世纪 先知，在现代被叫做间谍。 在这个古老神秘的事业中，仅有热情是不够的……,17k小说网,8.5,https://cdn.static.17k.com/book/600x800/92/20/32092.jpg-600x800?v=0,http://www.17k.com/book/32092.html
17,间谍的战争,如水意,军事,316.2万字,完结,作为一个普通人却要向间谍宣战，最好的办法是同样成为一个间谍。作为一个间谍，要向一个实力强大的间谍组织开战，那就加入一个同样强大的间谍组织。如果无法加入任何一个强大的间谍组织，那就自己建立起一个间谍组织，然后再去战斗至灭亡，或者获得胜利。这就是间谍的战争，讲述一群平凡的人如何成就不凡的故事。,起点中文网,6.1,https://qidian.qpic.cn/qdbimg/349573/1010539872/300,https://m.qidian.com/book/1010539872/catalog
18,斗兽,最后的游骑兵,军事,146万字,完结,招猫斗狗玩蛐蛐，架鹰盘蛇逗猢狲。盛世手艺逢乱世，亦可高乐亦杀贼！一张《异兽图》，你也要、他也要，鬼子也想要！一副英雄胆、文也强、武也盛，诛寇为人先！本指望光大门楣活得滋润，却不想倭寇犯境日子凄凉。大好的家业保不住，身边的亲朋护不全！既如此，豁出命！撕破天、扯裂地，魑魅魍魉全杀尽，拿血洗出个乾坤朗朗红日照河山！,起点中文网,7.5,https://qidian.qpic.cn/qdbimg/349573/2689695/300,https://m.qidian.com/book/2689695/catalog
19, 1942风起南洋,潜水老猿,军事,161.8万字,连载,二战世界格局大洗牌之际，华人能否在东南亚建国？     中南半岛能否建立一个统一的国家？     “既然来了，我们总得做点什么！”     本书讲述三个现代人穿越到1942年的东南亚，打造华夏民族后花园的故事。,铁血读书,6.1,http://s.junshishu.cn/bookcoverpic/27616_1484021285.jpg,http://www.junshishu.com/Book27616/
20,海南1939,哥是出来打酱油的,军事,160.1万字,连载,我国陆地面积最小，国土面积最大的省穿越到了1939年初。 故事是从一个交通事故开始的 本书群号：916142385,息壤中文网,6.5,http://oss.xrzww.com//upload/images/20200517/20200517010330749470724641.jpg,https://www.xrzww.com/bookdetail/1445
21,狠群,无聊路人甲.QD,军事,7.7万字,完结,一场意外的劫持，一场殊死的撕杀，将一个平凡的幼儿园学生带进了战火纷飞的生命旅程。血腥仍在继续，死亡就在前方，生存成了战场上所有人的动力……经过几年血与火的历练，他成长为百发百中的传说中小学生。（注：以上内容和本书完全无关）,起点中文网,8.6,https://qidian.qpic.cn/qdbimg/349573/1204329/300,https://m.qidian.com/book/1204329/catalog
22,骑射,Skyhigh,军事,28.8万字,连载,波斯草原像一盘散沙，虽然拥有精骑善射的弓骑手们，但是仍然被兽人们侵略，直到英格的来到。英格从来不相信自己是名英名的君王，他认为他所做的也只不过是尽力使得撤桑在兽人的威胁下生存了下来。注：看过罗马史的人都应该知道我写的是什么，撤桑比喻罗马的建立、兽人是波斯王朝、得尔费奴是希腊的帝制王朝、拉丁是雅典。,起点中文网,8.1,https://qidian.qpic.cn/qdbimg/349573/15738/300,https://m.qidian.com/book/15738/catalog
23,惊雷,只爱煞英雄,军事,382.5万字,完结,“谍海多凶险，于无声处听惊雷。”余惊鹊，代号惊雷，冰城不见硝烟的战场之中，像是一道春雷，炸响在无数人耳边。他是敌人心脏上的一根刺，时不时就要刺痛他们一下，却又难以拔除。惊雷破柱，天地换颜，守望黎明的黑暗中，雷声先鸣。……………………………………每一个人，生来都有天赋，只是天赋不同。当一个人的天赋，是适合做谍报工作的时候，这样的天赋，是好是坏？谍报工作没有成功的人，都是失败者，都是在辜负别人的信任。敌人的信任，甚至是自己人的信任。没有成功，没有失败。要么“默默无闻”，要么“身死道消”。,起点中文网,7.3,https://qidian.qpic.cn/qdbimg/349573/1011130414/300,https://m.qidian.com/book/1011130414/catalog
24, 二战亲历记之浴血东线,丁丁猫,军事,146.6万字,完结,一个悲催的现代人，意外死亡，穿越到烽火连天的二战苏德战场。为了生存、为了完成任务历经苏联卫国战争的各大战役最终达成心愿。热血、兄弟情、冷漠、麻木，各种正面负面的情绪都要经历。无装逼打脸，无暧昧，只有尽量追求真实，贴近史实(有一些适当加工，比如部队番号）。你将进入一个真实的发生在70年前人类历史上最残酷的战争！书友群群号：168570490，欢迎大家进群讨论互动。,铁血读书,6.7,http://s.junshishu.cn/bookcoverpic/25653_1451654340.jpg,http://www.junshishu.com/Book25653/
25,孤岛风云,乌鸦与麻雀,军事,29万字,完结,续作新书《孤岛喋血》已经上传！会有全新的人物出场和剧情设置，感谢大家的支持！,起点中文网,6.9,https://qidian.qpic.cn/qdbimg/349573/1015118512/300,http://book.qidian.com/info/1015118512
26, 第一次人机战争,潜水鹦鹉,军事,115.3万字,连载,三战之后，人口锐减，人类大力发展人工智能来代替劳动力，最终导致人工智能暴动，并迅速席卷全世界，只有在中国在GFW的保护下逃过一劫，并成为人类文明的最后一块基地。     一百二十年后，修养生息的人类终于开始尝试反攻，李易跟随第五二零团成为第一批登陆印度半岛的士兵。     故事由此开始……,铁血读书,7.1,http://s.junshishu.cn/bookcoverpic/27716_1493213320.jpg,http://www.junshishu.com/Book27716/
27,鹰掠九天,仲渊2,军事,168万字,连载,距离高考还剩四个月，渡过除夕和生日这一天后，怀揣翱翔蓝天梦想的周海，突然发现梦想，第一次触手可及。这是一位天之骄子的故事，更是一个苍穹之巅的传奇。睥睨天下的战鹰，凝聚于身的白色音爆云，还有属于那一份人类自古以来的飞行之梦。一切的一切，都从除夕和生日这一天开始。鹰九一群：174543716，已满。鹰九二群：807585024，新建。鹰九三群：805685966，新建2000人大群,起点中文网,4.4,https://qidian.qpic.cn/qdbimg/349573/1011432900/300,https://m.qidian.com/book/1011432900/catalog
28,大国战隼,步枪,军事,232.4万字,完结,【枪团出品】“我一脚油门就能到关岛你信不！”别人开飞机费油，李战开飞机费发动机！,起点中文网,5.1,https://qidian.qpic.cn/qdbimg/349573/1016298308/300,https://m.qidian.com/book/1016298308/catalog
29,后手,可大可小,军事,208.9万字,完结,海沽警察教练所的路承周，在校期间，就秘密加入了中国共产党。毕业后进入英租界警务处担任巡捕，被军统海沽站相中，发展其成为军统通讯员。之后，日本人也觉得，他是个理想的发展对象。原本只想以巡捕身份掩护工作的路承周，突然发现，自己成为各方追逐的目标……新书《我真的是一个外卖员啊》,起点中文网,6.4,https://qidian.qpic.cn/qdbimg/349573/1012069605/300,https://m.qidian.com/book/1012069605/catalog
30,末日之最终战争,如水意,军事,167.9万字,完结,外星人带着敌意降临。面对外星人的入侵，人类弱小的就像是蝼蚁。所以这是末日，真正的末日。但是有入侵就有反抗。对有些人来说这不是末日，这是战争。所以这就是战争。真正的战争！,起点中文网,5.1,https://qidian.qpic.cn/qdbimg/349573/1016911093/300,https://m.qidian.com/book/1016911093/catalog
