,title,author,sort,count,status,detail,site,rank1,cover,url1
0,宰执天下,cuslaa,历史,735万字,完结,宰者宰相，执者执政。    上辅君王，下安黎庶，群臣避道，礼绝百僚，是为宰相。    佐政事，定国策，副署诏令，为宰相之亚，是为执政。    因为一场空难，贺方一迈千年，回到了传说中‘积贫积弱’同时又‘富庶远超汉唐’的北宋。一个贫寒的家庭，一场因贪婪带来的灾难，为了能保住自己小小的幸福，新生的韩冈开始了向上迈进的脚步。    这一走，就再也无法停留。逐渐的，他走到了他所能达到的最高峰。在诸多闪耀在史书中的名字身边，终于寻找到了自己的位置。读者第一群：127748272（高级群，已满）读者第二群：31711604（招募中）读者第三群：177233103（招募中）,纵横中文网,8.4,http://static.zongheng.com/upload/cover/82/c6/82c6df86f584c266b99c038e707000691567581295408.jpeg,http://book.zongheng.com/book/69507.html
1,赘婿,愤怒的香蕉,历史,516.1万字,连载,武朝末年，岁月峥嵘，天下纷乱，金辽相抗，局势动荡，百年屈辱，终于望见结束的第一缕曙光，天祚帝、完颜阿骨打、吴乞买，成吉思汗铁木真、札木合、赤老温、木华黎、博尔忽、博尔术、秦桧、岳飞、李纲、种师道、唐恪、吴敏、耿南仲、张邦昌，忠臣与奸臣的较量，英雄与枭雄的博弈，胡虏南下，百万铁骑叩雁门，江山沦陷，生灵涂炭，一个国家与民族百年的屈辱与抗争，先行者的哭泣、呐喊与悲怆……而在这之前一点点，江宁城中，暗流涌动，一个商贾家毫不起眼的小小赘婿，正在很没责任感地过着他那只想吃东西、看表演的悠闲人生…………郭麒麟、宋轶主演热播影视剧同名原著。,起点中文网,7.5,https://qidian.qpic.cn/qdbimg/349573/1979049/300,https://m.qidian.com/book/1979049/catalog
2,晚明,柯山梦,历史,227.4万字,完结,明朝末年，北国狼烟横卷，尸骨山积；江南小桥流水，歌舞升平。朝代末世的内忧外患之中，腹黑办公室主任强势崛起，吹响华夏最后的号角。真英雄，改天命。残酷惨烈的古代战争，真实的明代市井，一个个小人物创造的历史，展开一幅波澜壮阔而又温婉缠绵的晚明画卷。书友QQ群：145034435,起点中文网,8.7,https://qidian.qpic.cn/qdbimg/349573/2430034/300,https://m.qidian.com/book/2430034/catalog
3,庆余年,猫腻,历史,378.2万字,完结,积善之家，必有余庆，留余庆，留余庆，忽遇恩人；幸娘亲，幸娘亲，积得阴功。劝人生，济困扶穷……而谁可知，人生于世，上承余庆，终究却是要自己做出道路抉择，正是所谓岔枝发：东风携云雨，幼藤吐新芽。急催如颦鼓，洗尽茸与华。且待朝阳至，绿遍庭中架。更盼黄叶时，采得数枚瓜。…………《庆余年》同名影视剧由张若昀、李沁、陈道明、吴刚等主演，11月26日起在腾讯视频、爱奇艺开播。,起点中文网,7.1,https://qidian.qpic.cn/qdbimg/349573/114559/300,https://m.qidian.com/book/114559/catalog
4,民国之文豪崛起,王梓钧,历史,249.4万字,完结,周赫煊回到民国时代，不会带兵打仗，不懂科学技术，不喜从政从商，那他还能干什么？唉，抄书抄诗混日子吧。谁知抄着抄着就成大文豪了，动荡的时局推着周赫煊不断向前。有人崇拜他，有人仇视他，还有人想杀他，欲除之而后快。PS：书友1群，308968034，2群，64075245，3群，173562144，VIP群，629744318（需订阅截图验证）,起点中文网,6.4,https://qidian.qpic.cn/qdbimg/349573/1005064061/300,https://m.qidian.com/book/1005064061/catalog
5,临高启明,吹牛者,历史,770.6万字,连载,穿越到乱世不是被雷劈，是他们自己的选择。有人想称王制霸，有人想解民于倒悬，有人想以己之力，阻止最后一次野蛮对文明的征服，从而改写中华民族的历史。当然也有人想得只是三妻四妾，过现世过不上的极度腐败的生活。这群三心二意，各怀抱负的普通人，没有虎躯、没有王八之气更没有弱智光环道具。乱哄哄的挤在一艘旧船上，有的只是现代机器、科技还有各式各样的理论。穿越者们怀着现世无法达成的野心、梦想和理想，向着明末的乱世进发。目标：海南。,起点中文网,6.9,https://qidian.qpic.cn/qdbimg/349573/1262627/300,https://m.qidian.com/book/1262627/catalog
6,覆汉,榴弹怕水,历史,322.8万字,完结,努力闻达于诸侯，以求苟全性命于乱世！作为一个遗腹子，公孙珣很早就从自己那个号称穿越者的老娘处获取了人生指导纲领。然而，跟着历史大潮随波逐流了一年又一年，他却发现情况渐渐有些不对了！这是一个半土著的男人奋斗在大时代的故事！,起点中文网,7.3,https://qidian.qpic.cn/qdbimg/349573/1011526746/300,https://m.qidian.com/book/1011526746/catalog
7,秦吏,七月新番,历史,336.6万字,完结,（新书《新书》已发，新莽之际，穿越者大战位面之子）战国之末，华夏千年未有之大变局。有人天生世卿。有人贵为公子。他却重生成秦国小卒黑夫，云梦秦简中的小人物。为免死于沟壑，为掌握自己命运，他奋力向上攀爬。好在，他赶上了一个大时代。六王毕，四海一！千年血统，敌不过军功授爵。六国豪贵，皆被秦吏踩在脚下。黑夫只想笑问一句:王侯将相，宁有种乎?南取百越，北却匈奴，氐羌西遁，楼船东渡。六合之内，皇帝之土。在他参与下，历史有何改变？秦始皇固有一死，天下将分。身为秦吏，又当如何抉择，是推波助澜，还是力挽狂澜?,起点中文网,7.3,https://qidian.qpic.cn/qdbimg/349573/1011097497/300,https://m.qidian.com/book/1011097497/catalog
8,回到明朝当王爷,月关,历史,360.3万字,完结,【由蒋劲夫、袁冰妍主演的历史剧《回到明朝当王爷之杨凌传》正在热播】阴差阳错间，乌龙九世善人郑少鹏回到了大明正德年间。那是一个多姿多彩的时代，既有京师八虎的邪恶，又有江南四大才子的风流，还有大儒王阳明的心学，再加上荒诞不经的正德皇帝朱厚照。浑浑噩噩中踏进这个世界的主角，不得不为了自己的命运，周旋在这形形色色的人物之中。东厂、西厂、内厂、外廷之间的纷争；代天巡狩清除贪官的故事；剿倭寇、驱鞑靼、灭都掌蛮、大战佛郎机；开海禁、移民西伯利亚……，精彩的故事纷至沓来……国家和个人的命运，就象历史长河中的一条船，因为他的意外出现，这艘原本注定驶向没落的巨轮，会不会偏移它的方向呢？,起点中文网,8.1,https://qidian.qpic.cn/qdbimg/349573/84024/300,https://m.qidian.com/book/84024/catalog
9,三国之最风流,赵子曰,历史,426.6万字,连载,一个年轻人穿越汉末，从亭长做起，争雄天下。数风流人物，还看今朝。群：6225573  109796938   微信：kniyink,纵横中文网,7.9,http://static.zongheng.com/upload/cover/35/a3/35a35a2820ebe1117f87333b0bfa8834.png,http://book.zongheng.com/book/145937.html
