,title,author,sort,count,status,detail,site,rank1,cover,url1
0,悟空传,今何在,同人,9.7万字,完结,&nbsp;&nbsp;&nbsp;&nbsp; 　　纷纷落叶飘向大地，白雪下种子沉睡，一朵花开了又迅速枯萎，在流转的光的阴影中，星图不断变幻，海水中矗起高山，草木几百代的荣枯，总有一片片的迎风挺立，酷似它们的祖先。<br>　　怎能忘了西游？<br>,起点中文网,9.0,http://image.qidian.com/books/6760/6760.jpg,https://m.qidian.com/book/6760/catalog
1,无限道武者路,饥饿2006,同人,448.7万字,完结,作为中国最精锐的特种部队的格斗教练，他已经站在实战国术的巅峰。然而他不无遗憾，因为人力有限，国术虽精，却仍然是有尽之“术”，而非无穷之“道”。他虽屹于绝顶，却也止步于此，再难寸进。直到，他来到这个充满无限可能的世界……本书是同人，却绝对不会是靠着copy起家的抄袭文，即使与原著相同的任务，也会写出不同的东西，并会尽量做到让读者即使没读过原著、没看过任务涉及到的电影，都不至于影响阅读。由于主角的加入，原著的人物命运，将会有新的演绎，或许一个不起眼的炮灰，也会有属于他的光芒。愿意倾力为无限流添砖加瓦，无论是主神强化能力血统的系统化，以及轮回世界的构造，还有主神空间的终极意图，本书都会有全新的演绎。,起点中文网,7.7,https://qidian.qpic.cn/qdbimg/349573/1250584/300,https://m.qidian.com/book/1250584/catalog
2,大唐之我是独孤凤,隐仙者,同人,102万字,太监,QQ群1153490210动人的大唐双龙世界，武功与玄幻并立，阴谋与美人齐飞。师妃暄是头牌交际花，婠婠是暗夜小精灵。还有极度不给力的双龙，叫人扼腕叹息。现在这一切都不同了，这是大唐剑神独孤凤的传奇。辣手折花，调戏精灵。心剑神诀，破碎虚空。什么，你要看折花？ 好吧，这里有朵百合花……老群被封，新群225911665,纵横中文网,7.7,http://static.zongheng.com/upload/cover/2011/12/1324979877157.jpg,http://book.zongheng.com/book/135095.html
3,某科学的宅电磁炮,御坂10086,同人,29.4万字,太监,"学院都市里某个实验进行当中，一个意外降临在了实验体上......好吧，其实就是降临在御坂10086......哦不，是御坂10030身上。于是......天塌地陷，江海倒流，所有将发生的不幸...和幸运，全都在吐槽中化为乌有......“然而回过头去再看吐槽本身,或许和我国青年的sense实在是不合了,留存的终究只有正面的推掌、头顶的手刀、颌下的指突，乃至高位的逆十字固定等等的吐槽方法以及更数不胜数的技巧了……其实吐槽在日本年轻一代中也很不得志。哪个国家的传统艺术都面临危机啊……”某人这么说道。",起点中文网,8.1,https://qidian.qpic.cn/qdbimg/349573/1680932/300,https://m.qidian.com/book/100025667/catalog
4,火影之救世主,范仪同,同人,251.8万字,完结,以一个普通人的身份穿越火影忍者中的龙套水木却不得不拯救世界的故事,起点中文网,6.4,https://qidian.qpic.cn/qdbimg/349573/1005040425/300,https://m.qidian.com/book/1005040425/catalog
5,自旧世界,血染明月,同人,40.7万字,连载,【2016神脑洞征文系统参赛作品】 　《来自新世界》同人，一时兴起随手之作，完不完结不保证，可能是个无底坑，谨慎入坑。 ———— PS：本书选项是预定要写的个人支线或是番外。 交流群：309989758 欢迎大家前来交流。 另外声明，这本书首发于起点，应读者要求转发到书客，但大概不会签约，所以无需做多余的打赏。,刺猬猫,7.4,https://c1.kuangxiangit.com/images/default.jpg,https://www.ciweimao.com/book/100017156
6,火影之水遁最强,观水楼,同人,161.9万字,连载,穿越到火影的世界，没有金手指，没有作弊器，没有系统，没有老爷爷，有的只是一个真实的世界。没有红眼病和白内障，没有天生六种属性齐全，听起来很悲催。不过没关系，脑洞。。。啊呸，知识才是第一生产力。我的意思是，这个世界里，有人因为血统所以很牛逼，有人因为中二所以很牛逼，有人因为外挂所以很牛逼，而有人既有血统又中二兼有外挂。。。嗯，本书主角这些都没有。这是一个关于穿越者，水遁忍者春野樱的故事。（书友交流群488076541欢迎大家加入）,起点中文网,6.7,https://qidian.qpic.cn/qdbimg/349573/3275944/300,https://m.qidian.com/book/3275944/catalog
7,火影之传说,kid1412,同人,99.5万字,完结,谢谢大家的支持，这本书写完了，神原翼也成为传说了，我也算圆了一把自己心中的情怀，两年里很高兴和大家一起走过，在这里提前祝大家新年快乐，一切保重，再见！ 新书《苟在忍者世界》,刺猬猫,6.8,https://novel-cdn.kuangxiangit.com/uploads/allimg/c160824/24-08-16174505-73521-100015877.jpg,https://www.ciweimao.com/book/100015877
8,胜券在手,dleer,同人,202万字,完结,有人说，教练的任务是带领球队获得胜利，有人说，教练的任务是指导球员更加出色，有人说，作为教练的任务是让球队更加辉煌——这些我都做到了，但是却还不够。而我要说的则是，作为教练，除了这些追求之外，最高的追求，是让足球运动，更加伟大。书友群号：298914204，欢迎加入,纵横中文网,8.0,http://static.zongheng.com/upload/cover/2013/12/1386556891154.jpg,http://book.zongheng.com/book/325398.html
9,动漫之王的养成方法,朱之月,同人,365.2万字,完结,【飞卢中文网A级签约作品：动漫之王的养成方法】（披着路人女主养成方法同人的现实都市文，只是扩展开了那个世界而已，顺便还有樱花庄的宠物女孩。）　　“为什么这个世界会有学姐，会有英莉莉，会有圣人惠啊！还有你是叫真白吗！”　　LOVE.LIVE企划，九位缪斯小姐姐，初音未来偶像计划，火影忍者，海贼王，幻想乡计划，型月计划，没错，我就是要成为邪教教主，让所有的死宅们顶礼膜拜！　　这是一个穿越到二战出现了问题，历史似是而非的现代日本，这是一个成为富二代的穿越者在日本画漫画，写小说，作动漫，开声优事务所，建立一个属于自己的ACG帝国的故事。(本故事及人物纯属虚构，如有雷同，纯属巧合，切勿模仿。),飞卢小说网,5.3,http://img.faloo.com/Novel/166x235/0/143/000143660.jpg,http://b.faloo.com/f/358004.html
