,title,author,sort,count,status,detail,site,rank1,cover,url1
0,放开那个女巫,二目,奇幻,336.7万字,完结,程岩原以为穿越到了欧洲中世纪，成为了一位光荣的王子。但这世界似乎跟自己想的不太一样？女巫真实存在，而且还真具有魔力？女巫种田文，将种田进行到底。————新书《天道方程式》已经发布，请求投喂！,起点中文网,7.2,https://qidian.qpic.cn/qdbimg/349573/1003306811/300,https://m.qidian.com/book/1003306811/catalog
1,阴魂,野原乳之熊,奇幻,302.5万字,连载,如果感到幸福你就拍拍爪 如果感到幸福你就摇尾巴 如果感到幸福你就快出发 ——乳熊之歌 这是一个从棋子一步步变成棋手的故事 这是一个凡人与神祇相抗争的故事 这是一个耐瑟遗民光复帝国的故事 这是一个被遗...,有毒小说网,8.5,https://alioss.youdubook.com/uploads/20190625/0bd60fa84c4d9e79229b4b4e90f958a4.jpg,https://www.youdubook.com/book_detail/1177.html
2,神秘之旅,滚开,奇幻,444.3万字,完结,带着属性异能，穿越一个个世界。领略一个个异域风情的神秘世界。新书万千之心，有兴趣的可前往阅读。,起点中文网,7.3,https://qidian.qpic.cn/qdbimg/349573/2984157/300,https://m.qidian.com/book/2984157/catalog
3,魔法学徒,蓝晶.QD,奇幻,265.2万字,完结,传说中，魔族与神族原本共同居住在这个世界上，他们力量相同而个性相反，两者原本无所争执。但是，为了争夺对人类的控制权，神魔之间终于爆发了“光辉战役”。战役之后，强大力量破开空间，形成诸多不同世界，经过几千年的时光，人类重建文明，并成为这个世界的主人。然而神魔两族仍然不断试图染指与掌控这个人的世界——杂货店出身的少年恩莱科，便出现在这风云多变的时代，他的资质根本不适于修炼魔法，但是却当上了好色奸诈的魔法师维克多的弟子，和另外三位患难朋友——贝尔蒂娜、凯特以及杰瑞，展开了魔法试炼生的冒险生涯，迈向后世圣典所称的“先知”的开天辟地之途……,起点中文网,8.5,http://qidian.qpic.cn/qdbimg/349573/165/180,https://m.qidian.com/book/165/catalog
4,巫师之旅,一行白鹭上青天,奇幻,517.4万字,完结,给我无尽的知识，我便以自身为支点，撬动无尽世界。故事讲述的是一个名为格林的巫师，依靠自己的智慧和运气，学习自己独特的巫师知识，游历异域世界，参与不同文明的故事。新书《格兰自然科学院》，希望大家多多支持！,起点中文网,6.6,https://qidian.qpic.cn/qdbimg/349573/3268922/300,https://m.qidian.com/book/3268922/catalog
5,巫界术士,文抄公,奇幻,360.4万字,完结,雷林带着智脑穿越，成为一名贵族身份的巫师学徒，通过利用自身优势，学习成为巫师，获得术士的传承，走上血脉的道路，在神秘诡异的巫师世界进行一系列探险，最后获得永恒的故事。有关更新：每天保底两更，时间为6点和15点，加更一般放在晚上21点。细则：1、月票每满一百票，或者订阅上涨，加一更。2、收藏每上涨2000，加一更。3、打赏出现一名长老级，加一更，盟主三更。4、总推荐每增加2万，或者总点击增加20万，各加一更。备注：由于作者码字速度等原因，有些加更可能会比较延迟，但最晚应该也不会超过一周的时间，还请书友们谅解！,起点中文网,6.7,https://qidian.qpic.cn/qdbimg/349573/3456256/300,https://m.qidian.com/book/3456256/catalog
6,佣兵天下,说不得大师,奇幻,271.1万字,完结,　　 是历史造就了英雄，还是英雄造就了历史？ 这一直是很难辨析关系，但是，就从红月历２０３年开始，以一个小佣兵身份进入艾米大陆史的艾米.哈伯来看，前１０年，是历史在造就英雄，而后１０年，则是英雄与历史的共舞。 ——大陆史学家艾米的第十二代玄孙尼尔.哈伯研究手迹,起点中文网,8.3,https://www.yousuu.com/book/201105/020327z37xztq97t9kb9oo.jpg,https://m.qidian.com/book/120/catalog
7,灵吸怪备忘录,魔力的真髓,奇幻,67.4万字,连载,章鱼头烙兹“痉挛剧痛”的幽暗地域历险。 忘了说明了： 目前的更新安排：周一到周六更新《血与沙的女神》，周日更新《捕念者的婚礼》 就是这样，催更票投了白投，休想影响我的摸鱼看小说打游戏等等人生大计。 没办法，谁让我的偶像是...,有毒小说网,8.8,https://alioss.youdubook.com/uploads/20190306/ace09cfebf251233d1ce3bdeeb82b591.jpg,https://www.youdubook.com/book_detail/924.html
8,独游,酒精过敏,奇幻,92.8万字,完结,法尔维大陆冒险特别提示：一、绝对不要给城门卫兵任何财物。二、母鸡是一种凶残的生物。三、你的命并不比一只母鸡值钱。四、精准的弓箭手是你在战斗中值得依赖的伙伴，但并不是每个弓箭手都是精准的，所以……自求多福吧。五、珍惜生命、热爱生活，请勿随便尝试制造原子弹。六、不要被表象迷惑，十八摸是一首慷慨豪壮的战歌。七、多学几门外语是很有用的。八、不要畏惧死亡，这里的绝大多数人都死过不止一次——另外，这里的死神听说很漂亮。九、如果不考虑潜在的生命危险，这里确实是一个观光旅游的好地方，所以——如果不来看看，你会后悔的。,起点中文网,8.8,https://qidian.qpic.cn/qdbimg/349573/190388/300,https://m.qidian.com/book/190388/catalog
9,法师伊凡,kl3300,奇幻,187.1万字,完结,【纵横中文网四组签约作品】 这是一个有关法师来到地球之后， 对我们这个世界， 也对他自己， 产生改变的故事。 新书《回到21世纪》http://book.zongheng.com/book/265361.html,纵横中文网,7.2,http://static.zongheng.com/upload/s_image/cover/2011/10/1319437596522.jpg,http://book.zongheng.com/book/1056.html
