,title,author,sort,count,status,detail,site,rank1,cover,url1
0,我有一座冒险屋,我会修空调,悬疑,307.7万字,完结,【本作品简体实体书由次元书馆出版】陈歌继承了失踪父母留下的冒险屋，无奈生意萧条，直到整理冒险屋时意外发现的手机改变了这一切。只要完成手机每日布置的不同难度的任务，冒险屋就能得到修缮甚至扩建！于是陈歌开始在各大禁地里探险取材，将其中场景元素纳入到自己的冒险屋中。随着前来参观的游客们各种惊声尖叫，冒险屋一举成名！然而虽然任务带来的好处越来越多，但其中隐患也慢慢显现，甚至父母失踪的线索似乎也藏其中……书友一群819098233；二群724779368；三群946284995,起点中文网,6.1,https://qidian.qpic.cn/qdbimg/349573/1012284323/300,https://m.qidian.com/book/1012284323/catalog
1,深夜书屋,纯洁滴小龙,悬疑,370万字,完结,一家只在深夜开门营业的书屋，欢迎您的光临。——————【该作品简体版已出版，出版社天津人民出版社】——《vip全订书友群》：557560752（进群粉丝值验证）《读书群》：523978007（无需验证）《战斗群》：457654443（无需验证）新书《魔临》已发布，新的征程，开始！,起点中文网,5.8,https://qidian.qpic.cn/qdbimg/349573/1011335417/300,https://m.qidian.com/book/1011335417/catalog
2,黎明医生,机器人瓦力,悬疑,181.8万字,完结,昔日的闹市街头，现在一片畸形的死寂。嘶哑狂乱的怪异低语缠绕在天空之上，不可名状的古老巨影沉浮于大海之中。未知的疾病爆发，可怖的灾难肆虐，恐慌的人们日夜寻求虚妄的庇护之地。血雨飘淋，闪电照亮了乌鸦在聚集，永不复焉，永不复焉，它们答曰。“我们可以看到，这种异怪生物跟人类一样拥有十二对肋骨，但也拥有一根人类没有的‘横畸骨’……”医学院内，顾俊继续划下解剖刀，向周围的学生们展示着实验台上异怪生物的胸廓构造。神秘诡谲的时代降临，真理倒塌，秩序瓦解，人类唯有经由智性的力量，不屈前行。书友群：826176135全订V群：883840853,起点中文网,6.4,https://qidian.qpic.cn/qdbimg/349573/1015102783/300,https://m.qidian.com/book/1015102783/catalog
3,鬼吹灯（盗墓者的经历）,本物天下霸唱,悬疑,91.5万字,完结,热播剧《龙岭迷窟》官方正版原著在48章到99章~远古的文明，失落的宝藏，神秘莫测的古墓。一本主人公家中传下来的秘书残卷为引，三位当代摸金校尉，在离奇诡异的地下世界中，揭开一层层远古的神秘面纱。昆仑山大冰川下的九层妖楼，这里究竟是什么？藏着消失的古代魔国君王陵寝，诡异殉葬沟，神秘云母，地下九层“金”字高塔，堆满奇特古装的干枯骨骸。这里又有那些未知生物？漫天带火瓢虫袭来，巨大神秘爬行怪物。一群人险死求生！,起点中文网,8.7,https://qidian.qpic.cn/qdbimg/349573/53269/300,https://m.qidian.com/book/53269/catalog
4,盗墓笔记,南派三叔,悬疑,145.9万字,完结,热播剧《怒海潜沙》原著小说。50年前由长沙土夫子（盗墓贼）出土的战国帛书，记载了一个奇特战国古墓的位置，50年后，其中一个土夫子的孙子在他的笔记中发现这个秘密，纠集了一批经验丰富的盗墓贼前去寻宝，谁也没有想到，这个古墓竟然有着这么多诡异的事情：七星疑棺，青眼狐尸，九头蛇柏。这神秘的墓主人到底是谁，他们到底能不能找到真正的棺椁？故事悬念重重，情节跌荡，值得一看。,起点中文网,8,https://qidian.qpic.cn/qdbimg/349573/68223/300,https://m.qidian.com/book/68223/catalog
5,紫阳,风御九秋,悬疑,189.8万字,完结,《残袍》一套五本由广东人民出版社全集出版，欢迎关注微信公众号“fengyujiuqiu”了解最新动态。 《残袍》简体购买链接： https://detail.tmall.com/item.htm?id=548567351978 《紫阳》简体 天猫 购买链接： https://detail.tmall.com/item.htm?id=533962946316,17k小说网,2.8,https://cdn.static.17k.com/book/600x800/40/56/715640.jpg-600x800?v=1567064529000,http://www.17k.com/book/715640.html
6,茅山后裔,大力金刚掌,悬疑,134.5万字,完结,这是一本描述中国传统秘术—茅山道术的小说，故事说的是张国忠、张毅城父子运用茅山道术踏足天下的故事，从驱鬼镇邪到探秘寻奇无所不及，民间冤案、千古谜团将被一一揭开，他们的足迹甚至遍及亚欧异域，不同的文化、不同的地域、不同的信仰，中国最厉害的茅山道术，是否能一展全长？目前，好多读者问我关于书中的内容是否属实，本人在此郑重声明如下：本书一切内容与人物皆为虚构，如有雷同实属巧合，另：本书中所涉及到的一切阵法、动作，请大家切勿模仿，否则一切后果自负！,起点中文网,7.4,https://qidian.qpic.cn/qdbimg/349573/78574/300,https://m.qidian.com/book/78574/catalog
7,我当阴阳先生的那几年,崔走召,悬疑,106.2万字,完结,我们的故事是从一个死亡后进入阴间的少年身上开始的。你是否听说过很多民间流传的离奇故事？是否对故事里的那些身怀异术的能人心生过仰慕和向往？本书所讲的就是那些散落在民间的身怀异术之人的故事。他们精通卜卦方术，知晓驱鬼画符，身怀奇门遁甲。当他们的本领已经不被这个时代所承认的时候，他们又该怎么去抉择？,起点中文网,8,https://qidian.qpic.cn/qdbimg/349573/1529640/300,https://m.qidian.com/book/1529640/catalog
8,鬼吹灯II,本物天下霸唱,悬疑,102.8万字,完结,"热播网剧《鬼吹灯之怒晴湘西》改编自本书！生死轮回的千古之迷,，消逝的千百年文明，尘封的古老遗迹，苍茫大地上盘伏着巨龙，守护这一切。大河滔滔、黄沙滚滚，还是沧海桑田，这里到底隐藏着什么？那些埋藏着的生命灵魂徘徊挣扎，永生之门的出口的通道究竟在哪里？一行人意外探索着这一切未知之谜，逐渐揭开隐藏其后的神秘传说。",起点中文网,8.5,https://qidian.qpic.cn/qdbimg/349573/123900/300,https://m.qidian.com/book/123900/catalog
9,虫屋,金柜角,悬疑,114.7万字,连载,微胖的男人，拿着扫帚走到院子里，他扫了扫落叶，转过头，看门上的牌匾——虫屋。“再不现形，就把你们做成花肥。”,起点中文网,6.2,https://qidian.qpic.cn/qdbimg/349573/1012254219/300,https://m.qidian.com/book/1012254219/catalog
