,title,author,sort,count,status,detail,site,rank1,cover,url1
0,武林半侠传,文抄公,武侠,198.8万字,完结,无尽宽广而浩瀚的武道世界。这里有肩扛五岳、脚踏万河的恐怖武者，破碎虚空是一切最终？不！这里才刚刚开始！波云诡秘的江湖，酣畅淋漓的打斗，还有诸世界的轮回冒险！一位穿越的少年，一段演武令所带来的传奇……已有作品《香火成神道》、《巫界术士》，品质更新，完本保证！,起点中文网,6.3,http://qidian.qpic.cn/qdbimg/349573/1003380974/180,https://m.qidian.com/book/1003380974/catalog
1,死人经,冰临神下,武侠,78.6万字,完结,为不善乎显明之中者，人得而诛之；为不善于幽闭之中者，鬼得而诛之。 人鬼不诛，神得而诛之。 一本死人经，半部无道书。 斩尽千人头，啖吞百身骨。 你要么忍受世界的不公，要么成为世界的主宰。 他选择成为杀手，和仇人一样的杀手，但是更加冷酷更无情。 刀光剑影中，他要寻求真理—— 杀生者不死，生生者不生。,起点中文网,7.5,https://www.yousuu.com/book/201301/143951rfr090rrdthhty5w.jpg,https://m.qidian.com/book/2389275/catalog
2,武侠时代的皇帝修炼日记,人瘦凋猪颜,武侠,85.3万字,太监,少年天子坐正明堂，左右狐狸两旁，阴诡的披金戴紫，跋扈的持节封王；上有那端庄的圣母养闺臣，下跪着衣冠的世家藏心肠，殿悬着血泪忠良，这斑斑青竹泪几行，沙场白发眺天狼，沦落在胡尘望帝乡，说一句楚虽三户三闾强。正气丹心高悬在日月上，发奋图强复旧疆。治河修渠兴盐铁，再选汉将去朔方。有长征健儿夜带刀，弯弓西向奔敦煌，疏勒斩得冒顿首，藁街又悬老上头。飞将射虎碎叶下，都护持节木鹿城。望雒水，居周城，问左右辅弼，吾土吾民吾家邦，可无恙？且歌秦王调，饮酒食豚，画眉在闺房。,起点中文网,6.8,https://qidian.qpic.cn/qdbimg/349573/1009907155/300,https://m.qidian.com/book/1009907155/catalog
3,昆仑,凤歌,武侠,104.3万字,完结,《昆仑》以宋末元初为历史背景，通过主人公梁萧的传奇经历，给读者展开了一幅气势磅礴的江湖画卷。江湖，情仇，家国，浩浩荡荡百万字，出场人物数百，通篇神采飞扬，是一部直追金庸实力的巨作。情节起伏跌宕，波澜壮阔。其中《天机卷》中的天机宫之变、《破城卷》中的襄阳之战等读来均是荡气回肠，堪与光明顶之战等经典段落比肩。神完气足，容量极大——天文地理、机关数术、排兵布阵，无一不及，且无一不精，尤其是对古代算学的运用可谓神来之笔，直叫人拍案叫绝。,,6.9,https://www.yousuu.com/book/201105/205055mbzzkiemzonminpp.jpg,
4,缺月梧桐,缺月梧桐,武侠,192.4万字,完结,什么是坚信，什么是情义，什么是权柄，什么是正确不相信地狱之处即是地狱。人人都将堕落，无人可以幸免。,起点中文网,8.0,https://qidian.qpic.cn/qdbimg/349573/22154/300,https://m.qidian.com/book/22154/catalog
5,英雄志,孙晓,武侠,305.8万字,完结,　　亡命天涯的捕快、落魄潦倒的书生，豪迈不羁的将军与心机深沉的贵公子，四个人在黑暗时代中，交错复杂的感人故事。命运相连，爱情故事动人，武打与剧情再再超出预料，被公认具有【清明上河图】风貌的武侠小说……,17k小说网,8.3,https://www.yousuu.com/book/201107/231812e6hzz1t0velumlph.jpg,http://www.17k.com/book/13180.html
6,剑出华山,血沃天涯,武侠,178.7万字,完结,不一样的岳不群，不一样的华山，不一样的笑傲。江湖争锋，正与邪耶？名与利耶？武与道耶？（笑傲教主岳不群结束，元神轮回，进入大唐邪王石之轩时代……）群号237044310,起点中文网,6.1,http://qidian.qpic.cn/qdbimg/349573/3445230/180,https://m.qidian.com/book/3445230/catalog
7,笑傲之华山,湛湛青天,武侠,73.2万字,完结,"&nbsp;&nbsp;&nbsp;&nbsp; 　　笑傲江湖同人。08旧款。<br>　　敬请期待。<br>　　一个现代穿越者,进入笑傲江湖的世界,看他如何参与并改变笑傲的剧情，延续并改变着笑傲相关主角的的命运。<br>　　QQ群：<br>　　笑傲之华山：69141820（感谢书友风中鱼仔）",起点中文网,7.8,http://image.qidian.com/books/1025170/1025170.jpg,https://m.qidian.com/book/1025170/catalog
8,九鼎记,我吃西红柿,武侠,202.6万字,完结,自禹皇五斧劈山，统一天下，划分九州，立九鼎后，这片大地便被称为九州。禹皇离世后，天下便纷争不断。千年后，一代天骄秦岭天帝横空出世，曾一掌令百丈宽的雁江江水断流，凭绝世武力，最终得以一统天下，可当秦岭天帝离世后，天下同样大乱，数千年来，没有再度统一过。而现代世界的一代形意宗师‘滕青山’却来到了这样的世界……,起点中文网,7.0,https://qidian.qpic.cn/qdbimg/349573/1321320/300,https://m.qidian.com/book/1321320/catalog
9,托身白刃里，浪迹红尘中,接卡口,武侠,141.2万字,连载,不过就是武侠穿越连续剧罢了，练武求超脱的故事,起点中文网,5.3,https://qidian.qpic.cn/qdbimg/349573/1013369523/300,https://m.qidian.com/book/1013369523/catalog
