,title,author,sort,count,status,detail,site,rank1,cover,url1
0,恐怖广播,纯洁滴小龙,灵异,339.4万字,完结,“听众朋友们，欢迎收听【恐怖广播】，希望您能够好好享受我们节目陪伴你的时光，好了，下面，请您转过头，看一看您的身后，是不是有一张人脸正在微笑着看着你？”——————起点精品作者，小龙出品，必属精品！《恐怖广播》舵主群：587、980、337舵主以上粉丝值可加，需要截图验证。《恐怖广播》进击群：584、799、103（新群）《恐怖广播》战斗群：457，654，443（满）,起点中文网,5.8,https://qidian.qpic.cn/qdbimg/349573/1003543215/300,https://m.qidian.com/book/1003543215/catalog
1,恐怖网文,纯洁滴小龙,灵异,286.5万字,完结,当您在网上看着这篇网络小说时，恭喜你，您已经被抽取成为“恐怖网文”世界的体验者，进入恐怖的小说世界，衷心希望……您……能活着回来！《恐怖网文》正版VIP读者群：439，583，382进群后请私密群主查询点券和剧情，进行兑换和强化！每一期恐怖任务世界参与名单将在群公告内公布，死者将会被自动踢出群，新人将会加入。这是死亡的游戏，这是杀戮的屠宰场，这里，欢迎你的到来和加入，让我们一起领略，生存线上挣扎的快感和尔虞我诈的刺激！【特别提醒】：进群后请不要相信任何人，因为他们都希望下一个死的人，是你！,起点中文网,5.5,https://qidian.qpic.cn/qdbimg/349573/3515983/300,https://m.qidian.com/book/3515983/catalog
2,地狱电影院,黑色火种,灵异,527.4万字,完结,新书《魔鬼考卷》已经发布，火热连载中如果你捡到了地狱电影院的恐怖片海报，你将会发现，你的名字会出现在恐怖片演员表之中！然而，你就会被投入这真实的恐怖片内，扮演里面的一个角色，必须按照剧本的要求，随着剧情发展，令人毛骨悚然的奇异诅咒，无处不在的森森鬼影，都将一一降临。黑暗的廊道，寂静的停尸间，你将不得不扮演一部又一部不同恐怖片，有的时候，你是主角，有的时候，也许只是个龙套。唯有攒足赎死券，才能脱离地狱电影院。普通的上班族叶想，在某一日夜班结束后，在黑暗的楼道内，捡到了这样一张恐怖电影海报……本书非《地狱公寓》式纯恐怖文，而是我的转型之作，属变种无限流+玄幻+灵异风格的作品！,起点中文网,5.2,https://qidian.qpic.cn/qdbimg/349573/2855240/300,https://m.qidian.com/book/2855240/catalog
3,异数定理,吾道长不孤,灵异,89.7万字,连载,大家好，这里是身为主角的我亲自为大家做“作品简介”。 在我的时代，概率论失效了，科学完蛋了，万物的秩序都崩溃了。而我本人，也被一个邪恶的疯狂科学家抓进他的实验室，改造成了危险的魔法实验体。 但是，别慌！ 就像柯南·道尔无法杀死福尔摩斯一样。只要各位点开这本书籍，我的奇妙冒险总能开始的。 大概。,书山中文网,6.4,http://img.yc.ireader.com.cn/bookface/8/6/80666_large.jpg,http://shushan.zhangyue.net/book/80666
4,租鬼公司,侃空,灵异,344万字,完结,想租鬼吗？价格便宜，种类齐全，服务周道，无论您是要用来吓人整蛊，送货快递，还是作网页视觉特效、当电影临时演员，只有您想不到的方面，没有我们做不到的服务。还犹豫什么？赶快来吧。书友群：租鬼公司，39341867;租鬼分公司，155676120;租鬼公司三号楼，168641374；租鬼公司四号楼，151741581。加群请报作品名及主角名，以验证书友身份，谢谢。现在发广告的实在太多了。,纵横中文网,5.9,http://static.zongheng.com/upload/cover/2010/11/1288703407973.jpg,http://book.zongheng.com/book/37474.html
5,怪谈世界的大邪神,蟹棒,灵异,115.3万字,连载,"【飞卢小说网独家签约小说：怪谈世界的大邪神】某所高中流传着怪谈，据说午夜在老教室拨打自己的号码，能得知自己的剩余寿命！ 许多胆大的学生尝试。 有人还剩40年，有人还剩10年，有人听到的却是十秒钟倒计时！ 而安居打通电话后，电话那头沉默了。 “对不*,您所拨打的电话正在通话中,请稍后再拨！Sorry!The，the，th……” 安居冷笑：“继续装啊！不会说英文了？” 在遍地都市怪谈的世界里，安居成了专吃恶鬼的大邪神。从来都是人躲鬼，今天却是鬼躲安居！ 飞卢小说网提醒您：本小说及人物纯属虚构，如有雷同，纯属巧合，切勿模仿。",飞卢小说网,5.1,http://img.faloo.com/Novel/498x705/0/240/000240162.jpg,http://b.faloo.com/f/545815.html
6,地球从今天起恐怖复苏,煮酒斩华佗,灵异,23.7万字,连载,【飞卢小说网独家签约小说：地球从今天起恐怖复苏】代号“凛冬”：恐怖事件序列一，源头事件，自南极发现的神秘尸体，容颜绝伦，不存在性别特征，其复苏导致往后燕京的全面沦陷。 代号“堕落”：恐怖事件序列十一，推测是教堂下沉睡的尸体，无人得见，其复苏造就了欧罗巴的十处人类禁区，加速了欧罗巴的全面沦陷。 代号“漆黑”，代号“烛九阴”…… 注：以上恐怖事件，所有代号的背后，全是神！ 谨记：无论何时何地，绝对不能信仰于神！ ....... 全球神话并非杜撰，只是神话背后的神，并非如人类所想，当神灵复苏，人类才意识到，那是最大的恐怖。 许也重生五年前，深知接下来的日子，人类将面临最黑暗的时代。 当神灵睁眼，恐怖复苏，人类唯有与神.. 飞卢小说网提醒您：本小说及人物纯属虚构，如有雷同，纯属巧合，切勿模仿。,飞卢小说网,5.9,http://img.faloo.com/Novel/498x705/0/496/000496243.jpg,http://b.faloo.com/f/797203.html
7,我的恐怖屋,真的怂,灵异,243.6万字,连载,【飞卢小说网独家签约小说：我的恐怖屋】在遥远的东方，有一家世界上最诡异的恐怖屋。 它只在正午营业，据说这样可以压制里面不洁的东西。 它价格昂贵，每次体验的门票高达99999RMB，即使这样，前来体验的顾客依然络绎不绝，各种明星大腕都来这里彰显勇气，想参观必须需要提前一个月预约。 它恐怖诡异，会走动的布偶，镜子里的黑影，偷看你的画像，无人自响的钢琴，没有尽头的阶梯……一切都在挑战你的神经！ 故事从一位被吓得尿裤子的女主播开始。 飞卢小说网提醒您：本小说及人物纯属虚构，如有雷同，纯属巧合，切勿模仿。,飞卢小说网,4.6,http://img.faloo.com/Novel/498x705/0/282/000282730.jpg,http://b.faloo.com/f/514103.html
8,要相信科学,草鞋子,灵异,59.5万字,连载,【飞卢小说网独家签约小说：要相信科学】“路大师，网友都说你是在世仙人。” “网友的话你也信？” “路大师，我撞鬼了。” “不，你只是得了精神病，世界上没有鬼！” “路大师，家财尽数奉上，求您收我为徒，教我法术！” “哪有什么法术，魔术学不学？” …… 面对愚昧的世人，路世玖只能无奈的点燃一支烟，语重心长的劝慰：“这个世上没有仙人，没有法术，更没有鬼！大家要相信科学！” 然后掐灭烟头，腾空御剑而去…… 飞卢小说网提醒您：本小说及人物纯属虚构，如有雷同，纯属巧合，切勿模仿。,飞卢小说网,4.2,http://img.faloo.com/Novel/498x705/0/547/000547268.jpg,http://b.faloo.com/f/838517.html
9,妖孽横行,夜雨听风,灵异,58.6万字,完结,<p>世人皆知大蛇为蟒，大蟒为蚺，大蚺为蛟，大蛟为龙。 </p><p>这些有了灵气的东西，多居于长河大江，深山老林里，一般不与人间为恶。 </p><p>而传说中的五爪金龙，人世间只会有一条，两两不相见，一条死一条生，这就是气数。 </p><p>老一辈儿常说的大蛇要化龙实则不然，这些蛇在大山里日久成精，得天地造化，却只能由蛇化蛟，也就是传说中的走蛟。 </p><p>蛟龙属妖，得不到正统，故不能位列仙班。 </p><p>一个背负麒麟血脉，偶得反笔神书的少年，将如何走出，这滚滚红尘的黑白世界。 </p><p>我们的故事，就先从这小小的石头村说起……<br /> </p><p>凌云1群 ：--328345883――欢迎小伙伴们加入！！<br /> </p>,红薯小说网,--,http://img1.hongshu.com/bookface/8/28/82842_large.jpg,http://www.hongshu.com/book/82842/
