,title,author,sort,count,status,detail,site,rank1,cover,url1
0,诡秘之主,爱潜水的乌贼,玄幻,446.5万字,完结,蒸汽与机械的浪潮中，谁能触及非凡？历史和黑暗的迷雾里，又是谁在耳语？我从诡秘中醒来，睁眼看见这个世界：枪械，大炮，巨舰，飞空艇，差分机；魔药，占卜，诅咒，倒吊人，封印物……光明依旧照耀，神秘从未远离，这是一段“愚者”的传说。,起点中文网,8.6,https://qidian.qpic.cn/qdbimg/349573/1010868264/300,https://m.qidian.com/book/1010868264/catalog
1,奥术神座,爱潜水的乌贼,玄幻,316.2万字,完结,“知识就等于力量。”“所谓神，不过是强大一点的奥术师。”带着一大堆知识的夏风穿越而来了。,起点中文网,8.5,https://qidian.qpic.cn/qdbimg/349573/2643379/300,https://m.qidian.com/book/2643379/catalog
2,一世之尊,爱潜水的乌贼,玄幻,443.7万字,完结,我这一生，不问前尘，不求来世，只轰轰烈烈，快意恩仇，败尽各族英杰，傲笑六道神魔！万年之后，大劫再启，如来金身，元始道体，孰强孰弱，如来神掌，截天七式，谁领风骚？轮回之中，孟奇自少林寺开始了自己“纵横一生，谁能相抗”的历程。,起点中文网,8.0,https://qidian.qpic.cn/qdbimg/349573/3249362/300,https://m.qidian.com/book/3249362/catalog
3,间客,猫腻,玄幻,337.3万字,完结,世界上有两件东西能够深深地震撼人们的心灵，一件是我们心中崇高的道德准则，另一件是我们头顶上灿烂的星空——康德当许乐从这行字上收回目光，第一次真正看到尘埃后方那繁若芝麻的群星时，并没有被震撼，相反他怒了：大区天空外面的星星这么刺眼，谁能受得了？天天被这些光晃着，只怕会变成矿道上那些被大灯照成痴呆的野猫！于是许乐放弃了成为一名高贵女性战舰指挥官辅官的梦想，开始在引力的作用下，堕落，堕落，堕落成了看门房的外乡穷小子，出卖身体的可怜男子，从事繁琐工作的男保姆……在波澜壮阔的大时代里，露着白牙，眯眼傻笑，披着莫名的光辉，一步一步地迈向谁也不知道的远方。…………许乐，东林大区公民，从一颗荒凉的半废弃星球上离开，脑海里拥有一些希奇古怪的知识，身体里拥有这个世界谁也不曾接触过的力量，并不浑沌，一味荒唐知足地进入了这个最无趣也是最有趣的世界。间客的人生，一定很精彩。,起点中文网,7.5,https://qidian.qpic.cn/qdbimg/349573/1223147/300,https://m.qidian.com/book/1223147/catalog
4,将夜,猫腻,玄幻,374.5万字,完结,与天斗，其乐无穷。……,起点中文网,7.1,https://qidian.qpic.cn/qdbimg/349573/2083259/300,https://m.qidian.com/book/2083259/catalog
5,幻想世界大穿越,辰一十一,玄幻,406.1万字,完结,当幻想成为现实，天朝少年能否踏上成神之路？拥有穿越异能的陈昂，穿越在幻想世界里。在《永无止境》的世界里，获得超人的智慧，在《超体》的世界里，窥视成神的奥秘，从《笑傲江湖》开始，修行内功，进化自己，由《狂蟒之灾》中，拿到长生的钥匙，超人血清，绝境药剂，X因子，蜘蛛基因，蜥蜴药剂嗑药成神的道路漫长而崎岖，窥视上帝的禁区危险而艰难，我一路不悔！,起点中文网,6.7,https://qidian.qpic.cn/qdbimg/349573/3542798/300,https://m.qidian.com/book/3542798/catalog
6,亵渎,烟雨江南,玄幻,263.5万字,完结,睡觉睡到自然醒，数钱数到手抽筋。这就是罗格的幸福生活《亵渎》第一、二卷于2005年10月正式简体出版，全国发售。第三、四卷于2005年11月20日全国发售。欢迎访问出版专区http://www.cmfu.com/xdpages/main.asp,起点中文网,8.4,https://qidian.qpic.cn/qdbimg/349573/5060/300,https://m.qidian.com/book/5060/catalog
7,问镜,减肥专家,玄幻,518万字,完结,我有一镜，乾坤山河也照得；我有一剑，人心鬼域皆斩破；我有一城，九重天里云中座；我有一心，长生路上笑蹉跎。世人为何要长生？因为长生包容一切的欲望，长生便是无限的可能。问镜VIP群：186722958，星值在大侠以上的书友（大侠、豪侠、舵主、堂主、护法、宗师、掌门、盟主）请加。通过个人中心-我的积分，可查阅星值。入群验证为纵横ID，入群后出示星值截图即可。超级问镜群：81325855新浪：http://weibo.com/u/2296679005/腾讯：http://t.qq.com/nvxz2003/,纵横中文网,7.7,http://static.zongheng.com/upload/cover/53/74/5374434c669bcf5a8f02d8e068e43988.jpeg,http://book.zongheng.com/book/65189.html
8,武道宗师,爱潜水的乌贼,玄幻,247.9万字,完结,在这里，武道不再是虚无缥缈的传说，而是切切实实的传承，经过与科技的对抗后，彻底融入了社会，有了各种各样的武道比赛，文无第一，武无第二！楼成得到武道一大流派断绝的传承后，向着最初的梦想，向着心里的荣耀，一步一步前进，都市之中仍有豪侠，当今时代依存英雄！,起点中文网,6.3,https://qidian.qpic.cn/qdbimg/349573/1004142144/300,https://m.qidian.com/book/1004142144/catalog
9,罪恶之城,烟雨江南,玄幻,421.7万字,完结,背负着沉重的期望，那身具恶魔和精灵血脉的少年毅然走向毁灭与重生的位面战场。放不下的执念支撑着他踏过熔岩，冲破深冰，更在绝域战场中纵横杀戮，只为打倒遥遥前方那个巍巍身影。 终有一日，他驻足插刀，放眼四顾，却已茫茫不见敌手。 原来曾经的巍峨绝峰，已在脚下。 * * * * “这个家族血管中流的每一滴血，都充满了罪恶和肮脏的东西。他们是所有矛盾的集合：他们热情，他们冷酷；他们善于记忆，他们经常遗忘；他们忠于梦想，他们随时妥协；他们愿与圣徒为伴，他们总和魔鬼合作；他们冷静，他们疯狂。他们是天使，他们也是魔鬼。 所以我爱他们，我恨他们。 　　　　　　　　　　　　　　　 -----李察.阿克蒙德,17k小说网,8.0,https://cdn.static.17k.com/book/600x800/02/73/117302.jpg-600x800?v=1565683468000,http://www.17k.com/book/117302.html
10,龙蛇演义,梦入神机,玄幻,210.6万字,完结,结缘秘密组织唐门掌舵人唐紫尘后，王超靠着非凡的毅力与顿悟一步步走上武学巅峰，拳战各派武学大师，加入又背叛神秘组织，游走于各方势力之间。王超将演绎一个怎样波诡云谲的传奇，铸就怎样一段曲折离奇的人生！,起点中文网,8.6,http://qidian.qpic.cn/qdbimg/349573/1020706/180,https://m.qidian.com/book/1020706/catalog
11,崩坏世界的传奇大冒险,国王陛下,玄幻,117.8万字,完结,爱动漫，爱网游，更爱和谐有爱的GAL。毕业于名牌大学，GPA高达1.6。擅长杀人，擅长放火，不擅长口是心非。我不喜欢吐槽，我只喜欢说实话。我是个厚道人，胸怀厚，脸皮也厚。不是什么精神病，也不是没心没肺。我是王五。和你不一样，绝世高手。,起点中文网,8.1,https://qidian.qpic.cn/qdbimg/349573/1710847/300,https://m.qidian.com/book/1710847/catalog
12,蛊真人,蛊真人,玄幻,726.8万字,太监,人是万物之灵，蛊是天地真精。在一个养蛊、炼蛊、用蛊的奇特世界中，一个穿越者不断重生，矢志永生的励志故事。雄山漫道真如铁，如今迈步从头越。险就一身乾坤精，我心依旧望苍天！蛊真人活动主群.蛊界：722747201。蛊真人黑天群：497266624。蛊真人白天群：336936326。《蛊真人》vip群：250906315。,起点中文网,6.1,https://qidian.qpic.cn/qdbimg/349573/2527417/300,https://m.qidian.com/book/2527417/catalog
13,巫师世界,滚开,玄幻,204.7万字,完结,穿越到异世界成为普通的小家族子弟，带着具有分析能力的生物芯片开始强大之旅.....新书万千之心，已经发布上传，有兴趣得可以来看看。,起点中文网,7.6,https://qidian.qpic.cn/qdbimg/349573/2443169/300,https://m.qidian.com/book/2443169/catalog
14,雪中悍刀行,烽火戏诸侯,玄幻,461万字,完结,江湖是一张珠帘。大人物小人物，是珠子，大故事小故事，是串线。情义二字，则是那些珠子的精气神。————开始收官中。最终章将以那一声“小二上酒”结尾。【北京影视出版创作基金扶持作品】鸣谢北京市新闻出版广电局,纵横中文网,6.5,http://static.zongheng.com/upload/cover/03/3b/033bfb691d626e55f78e6c7fef0a9737.jpeg,http://book.zongheng.com/book/189169.html
15,斗破苍穹,天蚕土豆,玄幻,532.4万字,完结,这里是属于斗气的世界，没有花俏艳丽的魔法，有的，仅仅是繁衍到巅峰的斗气！新书等级制度：斗者，斗师，大斗师，斗灵，斗王，斗皇，斗宗，斗尊，斗圣，斗帝。……吴磊、林允主演的同名电视剧9月3日起周一到周三每晚22：00登陆湖南卫视，腾讯视频全网独播。,起点中文网,6.5,https://qidian.qpic.cn/qdbimg/349573/1209977/300,https://m.qidian.com/book/1209977/catalog
16,都市妖奇谈,可蕊,玄幻,186.2万字,太监,在那里的大楼高耸，那里有如同迷宫般的道路，那里即使在夜晚也亮如白昼，那里居住着各种各样的人类，依靠这个城市生存，自身也成为这个都市运作的动力。可是人类也许不会想到，他们每建造一栋大厦，每铺设一座高架桥，每多亮起一盏彻夜不熄的灯光，就会有多少自然环境因此而被损坏，有多少其它生物失去家园，使它们扬起头来时，再也无法看到熟悉的星空。人们也许永远不会关心它们将何去何从，但是生命是很顽强的，为了生存下去它们会强迫自己去适应新的环境，适应人类，适应这样的都市。&amp;lt；br&amp;gt；人类也许永远都不会发现，正在和他们分享这个城市的不仅仅是野狗、野猫、鸟雀或者昆虫而已，还有一些聪明的利用人类外表隐藏在人类之中的“生物”，它们或者出于善意，或者出于恶意，它们居住在这个城市中，为了生存，为了捕食，为了进化……,起点女生网,9.3,http://qidian.qpic.cn/qdbimg/349573/906/180,https://m.qidian.com/book/906/catalog
17,难道我是神,熊狼狗,玄幻,247.5万字,完结,当猫拥有了超能力后的故事……书友群：927134755VIP书友群：948235123,起点中文网,7.0,https://qidian.qpic.cn/qdbimg/349573/1003786696/300,https://m.qidian.com/book/1003786696/catalog
18,紫川,老猪,玄幻,234.6万字,完结,两百年前的蓝河战场，光明帝国最后的军团在魔族的喧嚣声中崩溃，帝国最后的皇帝战死。混乱的西川大陆上没有了共同的君主，群雄并起而混战，武力是生存下去的唯一本钱，制霸天下，是一代代强者的梦想。大陆东南，有一个两百多年的强大势力——紫川家族。他西击流风家，东挡魔族，南镇林家。为了强大的梦想，为了家族血统的薪火相传，无数紫川俊杰前仆后继，谱写了一曲的史诗般壮丽的历史。本文《紫川》，讲述的就是这么一个家族的百年悲歌传奇。,起点中文网,8.5,https://qidian.qpic.cn/qdbimg/349573/20/300,https://m.qidian.com/book/20/catalog
19,择天记,猫腻,玄幻,313.5万字,完结,命里有时终须有，命里无时要强求。这是一个长生果的故事。,起点中文网,3.7,https://qidian.qpic.cn/qdbimg/349573/3347595/300,https://m.qidian.com/book/3347595/catalog
20,原始战记,陈词懒调,玄幻,252.8万字,完结,这坑爹的原始部落！“终有一天，我们将重返故地。荣耀依旧在，炎角之火永远不灭。”,,7.6,https://qidian.qpic.cn/qdbimg/349573/3425938/300,https://m.qidian.com/book/3425938/catalog
21,最终进化,卷土,玄幻,453.8万字,完结,"穿行于人类幻想衍生出来的空间*********决战哈利波特的魔法,掌控加勒比海盗的大权！汲取终结者的力量,撕毁黑客帝国的迷幻！病毒是我的仆人，坚刚是我的传承！在浩瀚的宇宙里殖猎在神秘的时间长河里穿行欲念憎恶阴谋背叛谁能挽回失去的曾经鬼首铜门战火印记谁能缔造不朽的传奇逝去的王牌，最终的进化！我.....在路上,weareone!",起点中文网,7.5,https://qidian.qpic.cn/qdbimg/349573/2117586/300,https://m.qidian.com/book/2117586/catalog
22,永恒剑主,滚开,玄幻,315万字,完结,穿越异界，以属性异能，成就无上霸主。欢迎来到我的世界.....新书为《万千之心》，有兴趣的朋友可以点作者名，进去可以看到我的所有书。,起点中文网,6.8,https://qidian.qpic.cn/qdbimg/349573/3604049/300,https://m.qidian.com/book/3604049/catalog
23,历史的尘埃,知秋,玄幻,167.9万字,完结,在历史的天空下，不管你爱与不爱都只是其中的尘埃。无论是谁，所能把握的不过也只是自己而已。,起点中文网,8.6,https://qidian.qpic.cn/qdbimg/349573/20691/300,https://m.qidian.com/book/20691/catalog
24,霜寒之翼,咸鱼公爵,玄幻,155.1万字,完结,“头儿，你说那是白龙？”矮人脸色发白地看着大冰川上露出的半边龙翼，腿已经开始发抖了。龙翼遮天蔽日，太阳暗淡失色，寒冷的气息仿佛凝固了整个天空。“也许是吧……收队，我们该走了……”队长心中莫名一寒：“快！战斗准备！”一阵强风撕裂苍穹，佣兵们纷纷栽倒在地，他睁开了一双猩红色的怪异瞳孔，居高临下地俯视着大地，龙吼如同雷霆：“人类？矮人？精灵？欢迎光临，我是白河，这是我的研究所，想参与什么研究？基因改造？强殖装甲？还是肉体能量化？”……一条性格脱线的白龙带着无限流神器在异世界丧心病狂不断搞事的故事。无限流，dnd，自嗨作，其他没啥可说的。群：111848048,起点中文网,6.3,https://qidian.qpic.cn/qdbimg/349573/1005818830/300,https://m.qidian.com/book/1005818830/catalog
25,永夜君王,烟雨江南,玄幻,494万字,完结,千夜自困苦中崛起，在背叛中坠落。自此一个人，一把枪，行在永夜与黎明之间，却走出一段传奇。若永夜注定是他的命运，那他也要成为主宰的王。,纵横中文网,6.6,http://static.zongheng.com/upload/cover/2016/01/1453257564712.jpg,http://book.zongheng.com/book/342974.html
26,新中国首位飞升者,芙蓉姐姐,玄幻,0.3万字,完结,若欲修仙问道、白日飞升，有二者缺一不可，一为勤奋，二为淡泊。为何他后于先人飞升？为何他先于后人飞升？,起点女生网,8.5,http://qidian.qpic.cn/qdbimg/349573/56834/180,https://m.qidian.com/book/56834/catalog
27,风姿物语,罗森,玄幻,502.2万字,完结,暴风的前兆，即将撼动整个风之大陆！场内幕重重的婚礼，引来各方人士觊觎，令暹罗城成为七大宗门明争暗斗的角力场。胸怀大志的兰斯洛、剑术卓绝的花次郎、神秘多智的鸿五郎和混水摸鱼的天地有雪，乘着这股暗流，或有意，或无心，在因缘际下齐聚暹罗，共同掀起冲击风之大陆的滔天巨浪。被后世史家冠上“我意王”尊称的男子，兰斯洛，在风之大陆史上留下无数丰功伟业，他的王座在鲜血与火焰中闪烁生光。异世界奇幻冒险钜作，兰斯洛王传奇故事，正式从这里展开！,起点中文网,8.7,https://qidian.qpic.cn/qdbimg/349573/878/300,https://m.qidian.com/book/878/catalog
28,主神调查员,小仲牛,玄幻,383万字,太监,这是个脑洞大开的爆笑故事，你将看到一个个与原作画风完全不同的剧情世界。我的名字叫罗锋，是一名主神调查员，日常工作是进入剧情世界，尽量扰乱剧情主线，收集数据与原剧情线做比对。我为什么要搅乱这些世界？当然是为了采集更多的主神数据进行科研，做到知己知彼，最终击败主神，将这个高维文明侵略者彻底消灭。本书会穿越的世界：《流星蝴蝶剑之蝙蝠侠归来》（已完结）《费伦大陆篇》（已完结）《漫威无限战争》（已完结）《火影篇》（已完结）《仙剑篇》柔情连载中。书友群：686550401,起点中文网,6.1,https://qidian.qpic.cn/qdbimg/349573/1010705571/300,https://m.qidian.com/book/1010705571/catalog
29,神墓,辰东,玄幻,299.5万字,完结,一个死去万载岁月的平凡青年从远古神墓中复活而出……,起点中文网,7.6,https://qidian.qpic.cn/qdbimg/349573/63856/300,https://m.qidian.com/book/63856/catalog
