,title,author,sort,count,status,detail,site,rank1,cover,url1
0,余罪,常书欣,现实,272.5万字,完结,警中有位前辈告诉我：慈不掌兵、善不从警。好人当不了警察，因为善良在作奸犯科的人看来，是一种可笑的懦弱。 我很不幸，不是一个善良，也不是一个懦弱的人，那些千奇百怪的犯罪，形形色色的罪犯，成了我生活的一部分。我不得不像他们一样思考，不得不像他们一样行事，因为我无时无刻都在绞尽脑汁地想着，如何抓住他们。 我叫余罪，我是刑警，这是我的故事，一个迷茫、困惑、冲动、激烈的故事………,创世中文网,8.5,http://wfqqreader.3g.qq.com/cover/913/215913/t5_215913.jpg,http://chuangshi.qq.com/bk/ly/215913.html
1,重生之小玩家,吹个大气球9,现实,220.8万字,完结,世事如棋，有人身在局中当棋子，有人手握棋子做玩家。大玩家摆弄苍生，小玩家自得富贵。秦风活过一世再重来，睁开眼，便要从棋子变玩家。然则大玩家不好当，姑且，就做个小玩家，富贵一生吧。群号440273623,起点中文网,6,https://qidian.qpic.cn/qdbimg/349573/3469854/300,https://m.qidian.com/book/3469854/catalog
2,超级大忽悠,常书欣,现实,159.6万字,完结,《超级大忽悠》简体已经出版，书名叫《高人》，中国戏剧出版社发行，网上书店及各大书店有售。,起点中文网,8.6,https://qidian.qpic.cn/qdbimg/349573/1936629/300,https://m.qidian.com/book/1936629/catalog
3,黑锅,常书欣,现实,277万字,完结,蒸、炒、煎、炸、炖，烩一锅佳肴美味。苦、忧、喜、乐、哀，活一世精彩人生。生活，就像一口锅。我们，都是锅里的菜。,起点中文网,8.5,https://qidian.qpic.cn/qdbimg/349573/1430017/300,https://m.qidian.com/book/1430017/catalog
4,子承父夜,仲夏baka,现实,5.3万字,连载,儿子成绩越来越差，父亲夏云在家访之后，决定突击检查，看看儿子是不是在做“青春期男孩子都会做的事”，耽误了学习。 然而。 夏云回到家，推开门。 摆在他面前的，是披肩发、水手服、百褶裙，小白屁股圆翘撅着，正手拿父亲换洗内裤舔嗅的......亲生儿子。 夏云：“O.O？？？” 夏璃：“O.O？？？” 夏云：“...” 夏璃：“=_=” 夏云：“...” —— 有时候。 沉默。 也是一种，瞬间爆炸。,SF轻小说,6.5,http://rs2.sfacg.com/web/novel/images/NovelCover/Big/2017/11/49e3b361-a25e-43b3-aabc-fa3af7269c6f.jpg,http://book.sfacg.com/Novel/109934/
5,复兴之路,wanglong,现实,97.1万字,完结,二十五年前，临近高考的几个学子因酒后冲突导致命案发生，人生轨迹因此而改变。二十五年后再次相会，前程、财富、亲情、友情、爱情，炙烤出人性的黑暗与光明。日出日落，天道永恒。QQ群136803444,起点中文网,7.6,https://qidian.qpic.cn/qdbimg/349573/3542213/300,https://m.qidian.com/book/3542213/catalog
6,重生之日本大作家,碧蕊白莲,现实,174万字,完结,男主角重生于平行世界中的日本，一步步地如何从文抄公到成为真正大作家的故事。QQ群：342454909,起点中文网,3,https://qidian.qpic.cn/qdbimg/349573/3604709/300,https://m.qidian.com/book/3604709/catalog
7,造车,榕之子,现实,228.2万字,完结,“我想造车！”韩皓一本正经说道。“就你——”周围的人都笑了，其中有人出言讽刺道。“别人造的汽车都是用钱买，而你韩皓造的汽车得用命买！”面对种种质疑，韩皓依旧不为所动回答。“既然如此，让我第一个试驾，就用我韩皓的命替中国民族汽车产业赌一个未来吧！”,起点中文网,5.4,https://qidian.qpic.cn/qdbimg/349573/1004593977/300,https://m.qidian.com/book/1004593977/catalog
8,重生之跃龙门,机房里的猪,现实,300.1万字,完结,这其实是一个关于选择的故事。 我们无法选择生，也无法选择死，但生与死之间我们是可以选择的。只不过我们既然选择了，就要承担或好或坏的结果，后悔是毫无意义的。 李家明选择了亲情，所以他放弃了走捷径出人头地，花八年时间苦读，考上了他家人眼中最好的大学；又花七年的时间留学深造，拿到了斯坦福的博士学位，完成了家人对他的企盼。但是，当他站到学术高峰之上，亲情成为了敬畏，就如多年前他敬畏他四哥一样。 选择了友情，朋友们走上人生巅峰，却最终各自为阵厮杀不断。 选择利益，青梅竹马的爱情随风而逝。直到多年后，他才幡然醒悟，扔下学业、事业，跑到剑桥镇给她买菜、做饭、打扫卫生、陪尽小心。 ……,创世中文网,5.6,http://wfqqreader.3g.qq.com/cover/714/747714/t5_747714.jpg,http://chuangshi.qq.com/bk/ly/747714.html
9,夺标,飞翔的浪漫,现实,119.2万字,完结,理想之夺标，唯有看今朝，漫漫人生路，诸君去感悟。——这是一个关于奋斗与成长的故事。飞翔的浪漫书友群：四七三一八九三三零新书《功名》已经上传,起点中文网,6.1,https://qidian.qpic.cn/qdbimg/349573/1011085604/300,https://m.qidian.com/book/1011085604/catalog
10,随身带着俩亩地,枫叶不红,现实,39.2万字,连载,平凡的失业青年偶然得到山村的几亩地，家传的玉佩给了他奇特的能力，从此种地种树逍遥山村。,起点中文网,7.7,https://qidian.qpic.cn/qdbimg/349573/1202010/300,https://m.qidian.com/book/1202010/catalog
11,大城时代,司马白衫,现实,201.4万字,完结,天将降大任于斯人也，必先……但我不想遭这份罪，也不想受那份苦，更不想担什么大任，当什么大官，就想好好地过我的日子，在这个我喜欢的城市里，有滋有味地活着。很不幸，这点愿望却实现不了，我不得不为这座城市投入进去，考虑着如何规划好它，建设好它，管理好它，经营好它，让它成为一个国际化的大都城……我叫岳文，性别：男，民族：汉，职业：干部，……关注作者，请加入天下同亲群;423750825,起点中文网,3.8,https://qidian.qpic.cn/qdbimg/349573/1004574263/300,https://m.qidian.com/book/1004574263/catalog
12,最是光阴留不住,寂寞之鸽,现实,239.7万字,连载,跟你们讲个故事吧，讲个埋藏深深喜悦和悲伤的故事。故事的名字叫做——时光。,起点中文网,6.2,https://qidian.qpic.cn/qdbimg/349573/1013804278/300,https://m.qidian.com/book/1013804278/catalog
13,荒岛求生日记,漂泊的萝卜,现实,50.4万字,完结,我，因意外流落荒岛。我不是贝尔，并不懂生存技巧。我不会捕猎，也不懂如何做陷阱；我不懂植物，也不懂有没有毒素；我没有任何野外生存经历。但是，我有对生命的渴望。是的，所以，我并不放弃。书友群:【130898670】，欢迎大家的加入探讨！,起点中文网,6.4,https://qidian.qpic.cn/qdbimg/349573/1005243853/300,https://m.qidian.com/book/1005243853/catalog
14,卜筑,争斤论两花花帽,现实,53.4万字,完结,"人到中年万事休,却道天凉好个秋。三十不豪,四十不富,五十将相寻死路。",起点中文网,3.6,https://qidian.qpic.cn/qdbimg/349573/1013015684/300,https://m.qidian.com/book/1013015684/catalog
15,极品农民,随身种田,现实,41.9万字,太监,方信回乡过年时意外得到一个可以随身携带，并能加速种植速度的空间，发掘出这个空间的功能之后，方信从都市回到了农村。从此远离都市的喧嚣和拥挤，尽享乡村的宁静与悠然。有了神奇的空间帮助，他悠哉种地，轻松养鱼，还都绿色天然，更不必担心食品越来越不安全；上山摘野果采蘑菇，大饱口福的同时，还能重温儿时的美好时光。闲看庭前花开花落，漫随天外云卷云舒。悠闲乡间，低调赚钱，打造理想中的家园，且看方信能否得偿夙愿。,起点中文网,6.6,https://qidian.qpic.cn/qdbimg/349573/1919437/300,http://book.qidian.com/info/1919437
16,春风二十年,宁溪南,现实,288.5万字,完结,“人不能忘本，活着就得好好活。”张伟是一个从山里农村出来的娃，看他是如何在90年代这个梦幻一样的年代抓住时机创造自己的传奇人生。书友群：601928557,起点中文网,5,https://qidian.qpic.cn/qdbimg/349573/1010709025/300,https://m.qidian.com/book/1010709025/catalog
17,一带一路之大机遇,鸿蒙树,现实,60.4万字,完结,在面临着种种困难的时候，毅然远到海外发展，当大家都认定他无所作为时，他却奋力而上，在一带一路的东风之中带领着一群人走上了致富的道路，抓住了这发展的大机遇，实现了自己的人生梦想,起点中文网,4.3,https://qidian.qpic.cn/qdbimg/349573/1013031863/300,http://book.qidian.com/info/1013031863
18,流金时代,坤华,现实,102.2万字,完结,新书《这个神医有点苟》已开，急需支持。(第四届现实征文大赛优胜奖，已上精品)本故事讲述的是我，一个东南大学高材生硕士，IT精英，如何被老婆这个小学毕业的专业扑街网路小写手忽悠到手，又看着她，如何在中国网络文学和中国房产业十五年的风云变迁中，成功成长为了一个专业老扑街手，顺便用我们仅有的五万块钱启动资金，买房、置业资产千万，创造美好幸福家园的故事。捎带手讲讲社会百态那些令人警醒的事。企鹅群209504061（欢迎各路英雄好汉，全订的群内验粉丝值加全订群）,起点中文网,4.9,https://qidian.qpic.cn/qdbimg/349573/1015240612/300,https://m.qidian.com/book/1015240612/catalog
19,幸福是奋斗出来的,克拉使者,现实,66.1万字,完结,原名《房奴，向钱冲》何国威签购房协议的时候手都在发抖，毕竟几十万的借款，两百万30年的贷款，人生之路仿佛一下子失掉了很多可能，连上班吃个外卖都要计较着怎么划算……蓝清灵说自己是个太懂事的妻子，一个梦中的婚礼也没有，连婚戒都没有买，双十一看中好多东西，衣服包包化妆品，都加了购物车。最后一点结算，发现是一笔不小的数目，想到每月还要还房贷，于是她一个个把那些想买的东西都删除了，只留了一些要买的生活必需品……那年，他们才26岁。在供房还贷的日子，他们基本砍掉了娱乐和无谓的消费。自己做饭，周末也不逛街了。但也因压力大，赚钱欲望也大了很多，工作方面更认真努力，拼命加班，少了很多浮躁和懒散。致奋斗中的房奴们，让我们一起向钱冲！,起点中文网,6.8,https://qidian.qpic.cn/qdbimg/349573/1011302830/300,https://m.qidian.com/book/1011302830/catalog
20,老黑是条狗,黑老墨,现实,74万字,完结,开局一条狗，狗却不是狗。一场意外，让杨牧变身为狗，开始用狗眼看世界。他却发现，原来狗眼里的世界比人眼所见要精彩得多。他也发现，当人时难以做到的事，做狗却可以轻松完成。他忍不住狂想，我要……,起点中文网,5.8,https://qidian.qpic.cn/qdbimg/349573/1010859236/300,http://book.qidian.com/info/1010859236
21,上海繁华,大地风车,现实,123.9万字,完结,《浦江东》新书发布，欢迎围观。《上海繁华》实体书确定八月出版。漫天繁华，明天又会是谁的精彩？记录一个外地年轻人，2005到2015上海十年间的打拼，工作和生活的经历。很现实，堪称年轻人工作、创业的参考和现实图鉴，非常值得一看。,起点中文网,4.4,https://qidian.qpic.cn/qdbimg/349573/1012351118/300,http://book.qidian.com/info/1012351118
22,民国草根,二宝天使,现实,111.9万字,连载,那年，雪下得极大。邵家死的只剩下一人，一个叫做邵满囤的少年。为了活下去，他敲开了村子里院墙最高的那户人家。初家。当邵满囤迈入那扇涂着红漆的角门时，他从没想过，他推开的不仅仅是一扇能让他活命的门。……在那扇门后，有他的新的名字：邵年时。有他为之奋斗了一辈子的道路：行商。有他敬了一辈子的人物：初家老爷。还有他疼爱了一辈子的女人：初雪……这是一个小长工的民国飘摇路……哪怕风吹雨打，我自坚如磐石。,起点中文网,4.4,https://qidian.qpic.cn/qdbimg/349573/1014166235/300,http://book.qidian.com/info/1014166235
23,死宅飞行员的日常,梅子徐,现实,100.8万字,完结,徐清是一个死宅，因为一次意外的招飞，成为了一个飞行员。他以为自己要平凡一辈子，直到一次足以载入航空史册的特情，他开始踏上了传奇机长之路！QQ群：1047042104新书《传奇机长》已发布，请大家支持！,起点中文网,3.9,https://qidian.qpic.cn/qdbimg/349573/1017006314/300,http://book.qidian.com/info/1017006314
24,传奇浪潮十八年,樊迦,现实,103.7万字,连载,进入2000年以后，中国互联网因为网络游戏的崛起，又开始了新一轮的造富运动。在这一轮时代的浪潮中，涌现出了不同年份的多名首富，上百名亿万富豪，以及数不清的千万富豪与百万级中产。整整十八年的淘金梦。苏清越从一座南方小城，孤身至平京，从一个普通部门经理做起，经历冷眼相待，也经历过爱恨情仇、焚香磕头、割袍断义，如履薄冰、战战兢兢，终成顶级富豪。他的故事就像港剧大时代一样精彩，甚至比大时代还精彩。本文涉及游戏制作内幕与发行、市场公关、运营活动，到资本市场的刀光剑影、疯狂并购、对赌协议，登陆纳斯达克等诸多内容。文中实战案例和发自内心的反思，也对即将进入职场的读者有着极为重要的启示！本文纯属虚构，如有雷同纯属巧合传奇浪潮群：1128678538,起点中文网,3.8,https://qidian.qpic.cn/qdbimg/349573/1022961302/300,http://book.qidian.com/info/1022961302
25,男人都是孩子,何常在,现实,77.2万字,完结,男人长大不容易，四十才成年。成长是一部不能暂停又不能重新选择职业的单向游戏。据科学研究证明，女人的心理成熟年龄是32岁，而男人要晚11岁。婚姻是一家无限关爱有限责任的股份制公司。第一部以男性视角全方位反映小男孩和大男孩成长为成熟男人的作品。群：148437587,起点中文网,3.3,https://qidian.qpic.cn/qdbimg/349573/1016459179/300,http://book.qidian.com/info/1016459179
