,title,author,sort,count,status,detail,site,rank1,cover,url1
这是22页
0,战争领主,辰燃,科幻,375.1万字,连载,【老辰的微信号开通了，大家快来加下好友吧。微信号：Chengran1982】大灾变之日后，杀戮和破坏充斥整个世界。法律和秩序荡然无存，大地变成弱肉强食的丛林荒野。他在沉眠中醒来，黄金的右眼中倒映着这个疯狂的世界；黑暗的深渊，一人独行!,纵横中文网,5.9,https://static.zongheng.com/upload/s_image/cover/2013/08/1376665449662.jpg,http://book.zongheng.com/book/187029.html
1,末世之死亡地狱,油炸桃乐丝,科幻,112.6万字,完结,当死亡不再是终点，当恶灵横行大地，当虫族在地球崛起，当人类被甩在进化树的末尾，这个世界还有没有我们的一席之地？ （作者在起点还有一本书叫活在无限世界，一百多万字已经完本，在创世直接搜也能找到，有兴趣的书友可以去看看！）,起点中文网,5.7,http://wfqqreader.3g.qq.com/cover/972/625972/t5_625972.jpg,https://m.qidian.com/book/3522720/catalog
2,穿梭时空的侠客,牵牛喂大将军,科幻,407.3万字,完结,十步杀一人，千里不留行。事了拂衣去，深藏身与名......侠之大者，为国为民，侠之小者，锄奸扶弱。穿梭诸天万界，身份角色不停变换，沈炼的堂弟、刘正风的弟子、林动的表哥、悟空的同门、通天教主的徒弟.......QQ一群664605948（普通）QQ二群694029302（需2000粉丝值截图验证）,起点中文网,3.2,https://qidian.qpic.cn/qdbimg/349573/1010293035/300,https://m.qidian.com/book/1010293035/catalog
3,漫威之无尽异能,九命肥猫,科幻,80.7万字,完结,有一天，罗迪心血来潮地数一下自己获得的异能。 精神攻击、隐身、念力、金属控制、冰冻…… 半个小时之后，艾玛，根本停不下来啊！ 新书：某美漫的机械主宰，希望大家多多支持！,创世中文网,5.6,http://wfqqreader.3g.qq.com/cover/885/613885/t5_613885.jpg,http://chuangshi.qq.com/bk/ly/613885.html
4,一切从贞子开始,黄泉落日,科幻,101.6万字,连载,那一年，J还游荡在街头，没有和K探员迎来宿命的相遇……那一年，草薙京还没躺在冰冷的研究所里，依旧热血的迎接着一次次的挑战……那一年，托尼斯塔克依旧浪迹在花丛当中，没有穿上属于他的钢铁铠甲……那一年，史蒂夫躺在冰冷的海底，等待着神盾局的发觉……那一年，班纳还不是那个威武雄壮的绿巨人，顶着天才之名研究着伽马射线……那一年，艾布纳挥舞着稚嫩的小手，用最热情的语气对着从电视剧中穿出的女子说道……你好！贞子！,起点中文网,4.5,https://qidian.qpic.cn/qdbimg/349573/1010303740/300,https://m.qidian.com/book/1010303740/catalog
5,幻想娱乐帝国,大飞艇,科幻,106.5万字,完结,离婚、破产……原画师范哲，被生活一脚踹到了谷底，转眼却收获系统，拍电影电视，做动画做游戏。当《英雄联盟》被搬上大荧幕；当各种热门小说被改编成电视剧、电影；当国产顶级游戏横空出世……这是一条娱乐大亨之路！——已有完本作品《最终猎杀》、《帝国之心》，感兴趣的读者可以看看。,起点中文网,4.1,https://qidian.qpic.cn/qdbimg/349573/1012773666/300,https://m.qidian.com/book/1012773666/catalog
6,纳米崛起,岭南仨人,科幻,83.8万字,连载,一个超忆患者的奋斗，这是属于纳米的时代。缘起于一份未来记忆。取巧于零八次贷危机。奠基于纳米材料科技。崛起于资源回收产业。读者企鹅群：798599089,起点中文网,5.8,https://qidian.qpic.cn/qdbimg/349573/1025502417/300,https://m.qidian.com/book/1025502417/catalog
7,狂蟒之灾,霸恶,科幻,186.3万字,完结,传奇武者重生成蛇，抱怨仇，蜕变成龙，君临宇宙！————————新书期间极其需要收藏、推荐、点击，诸位可以看看合不合口味，下面车位就有链接。,起点中文网,4.9,https://qidian.qpic.cn/qdbimg/349573/2688279/300,https://m.qidian.com/book/2688279/catalog
8,战争本能,一只翅膀,科幻,100万字,完结,在一次意外中，武赢得到了一把手枪，一张入场券。这是另一个世界，一个属于战争的世界，高手，现代武器，甚至是科幻武器都在这个空间中展现着自己所能展现出的精彩的一幕。在一次次的任务中，他学会了冷血和残酷。而他没有想到的是，自己的能力居然早在几十年前就被空间战士赋予了“极端者”的称呼，而拥有这种能力的人，无一不是空间的顶级强者。他是注定的强者？这是一个无限精彩的战争故事。群号：战争基地：19436938满员基地二群127402477基地三群46742836,起点中文网,6.9,https://qidian.qpic.cn/qdbimg/349573/1728352/300,https://m.qidian.com/book/1728352/catalog
