,title,author,sort,count,status,detail,site,rank1,cover,url1
0,重生之出人头地,闹闹不爱闹,都市,159.7万字,完结,这是个关于香港五十年代的故事。 那是个轰轰烈烈的火红年代。 在那段火红岁月，可以有数不胜数的大哥，小弟，有道不尽的颠沛流离。 在那个火红年代，可以有不胜枚举的美女，才人，有诉不完的风月情浓。 你可以说那是鱼龙混杂，漆黑一团的黑暗岁月，但是英雄却往往发迹于此。,书山中文网,8.6,http://img.yc.ireader.com.cn/bookface/6/61/66103_large.jpg,http://shushan.zhangyue.net/book/66103
1,隐杀,愤怒的香蕉,都市,168万字,完结,谢谢馒头同学提供的书友群（邪恶者同好会）：32632289（已满）由kIsS铭同学提供的隐杀二群（ｃJ的香蕉）：20137707隐杀高V群：43237511（香蕉船）（高V会员加入，进去后请改成起点的呢称）欢迎各位XｅYD的同学们莅临指教^_^,起点中文网,8.4,https://qidian.qpic.cn/qdbimg/349573/158872/300,https://m.qidian.com/book/158872/catalog
2,重生之官路商途,更俗,都市,450.8万字,完结,这其实是一本以重生为噱头的都市架空小说。好吧，理解成平行位面的相似世界也可以，更俗希望读者们能找到似是而非的过去的人生，哦，只是似是而非而已，故事纯属虚构，如有雷同。###############################################召唤狗血（书友评论兼简介）更俗又为我们塑造了一个自控力超强的新时代超级男人，性的冲动和挑逗对于一个16岁的男孩，无论生理和心理都充满萌动的少年无疑是巨大的挑战，遥想94年的时代背景，传统思维还占据着主导地位，这样的男孩子（拥有成年男子的成熟心理和21世纪无比开放的观念）对于御姐的诱惑是巨大的，还提到陆续会登场罗莉、御姐、熟妇、姐妹花，看的我内心非常非常的激烈，更俗在新作里一定会满足大家的11欲望！,起点中文网,8.7,http://qidian.qpic.cn/qdbimg/349573/1011238/180,https://m.qidian.com/book/1011238/catalog
3,文艺时代,睡觉会变白,都市,252万字,完结,他曾在一个小县城中看到一个名叫小武的小偷，也曾在苏州河边见识过一条金发的美人鱼，更是在一个小村子里看过一个汉子在被砍头前学驴叫……本书很墨迹~——————————新书发布了《顾道长生》,起点中文网,7.7,https://qidian.qpic.cn/qdbimg/349573/3216442/300,https://m.qidian.com/book/3216442/catalog
4,回到过去变成猫,陈词懒调,都市,144.4万字,完结,楚华大学东家属区大院门口，门卫大叔接了个电话之后，拉开窗子朝不远处的小树林中气十足一声吼：“黑炭，你妈叫你回家吃饭！”嗖——一只黑猫从小树林那边茂密的草丛里冲射而出，朝某栋楼跑去，眨眼间便消失在楼道口。在它之后，一个个猫头接连从草丛那边冒出来。饭点了，各回各家，各找各妈。……有人说，猫是这个世界上唯一一个整个种族都是神经病的动物，元芳你怎么看？－－－－－－－－－－－－－－－－－－无修真，想看修真的可以点“X”了。——————新书《未来天王》已发。,起点中文网,8.6,https://qidian.qpic.cn/qdbimg/349573/3008159/300,https://m.qidian.com/book/3008159/catalog
5,大医凌然,志鸟村,都市,328.8万字,连载,医学院学生凌然有一个小目标，要成为世界上最伟大的医生，结果不小心实现了。,起点中文网,6.3,https://qidian.qpic.cn/qdbimg/349573/1011486666/300,https://m.qidian.com/book/1011486666/catalog
6,修真聊天群,圣骑士的传说,都市,847.4万字,完结,某天，宋书航意外加入了一个仙侠中二病资深患者的交流群，里面的群友们都以‘道友’相称，群名片都是各种府主、洞主、真人、天师。连群主走失的宠物犬都称为大妖犬离家出走。整天聊的是炼丹、闯秘境、炼功经验啥的。突然有一天，潜水良久的他突然发现……群里每一个群员，竟然全部是修真者，能移山倒海、长生千年的那种！啊啊啊啊，世界观在一夜间彻底崩碎啦！书友群：九洲1号群:207572656九洲２号群:168114177九洲３号群:165210665（新）九洲一号群（VIP书友群，需验证）63769632,起点中文网,6.8,https://qidian.qpic.cn/qdbimg/349573/3602691/300,https://m.qidian.com/book/3602691/catalog
7,逆流纯真年代,人间武库,都市,217.2万字,完结,"时光是一艘航船，有人喜欢把90年代初的那几年，视为曾经那个纯真年代的最后一程。岁月更迭中早已不再单纯的江澈，逆流归来，重启1992,书写一场终于可以被妥善安放的璀璨青春。【欢迎加入逆流纯真年代VIP二群：497283806（入群要全订截图，这次我试试多说话）】",起点中文网,6.0,https://qidian.qpic.cn/qdbimg/349573/1009398284/300,https://m.qidian.com/book/1009398284/catalog
8,史上第一混乱,张小花,都市,179.2万字,完结,我真倒霉，真的人家穿越，我只能被穿越人家泡妞，我只能被妞……在我的第“好几号”当铺里，我接待了名叫荆轲、李白、关羽、秦侩等等一系列客户，发生了一连串让人忍俊不禁的故事本书恶搞气氛浓重，修真、穿越、都市、爱情一个也不能少。所以名之以“史上第一混乱”。,起点中文网,8.5,https://qidian.qpic.cn/qdbimg/349573/174075/300,https://m.qidian.com/book/174075/catalog
9,重生野性时代,王梓钧,都市,205.1万字,完结,从2018回到1993，记忆中，那一年的夏天很热。,起点中文网,6.9,https://qidian.qpic.cn/qdbimg/349573/1013026063/300,https://m.qidian.com/book/1013026063/catalog
